Nationality,Nationalities,Country,Countries
Congo,Congo,Congo,Congo
South Sudan,South Sudan,South Sudan,South Sudan
Armenia,Armenia,Armenia,Armenia
Cuba,Cuba,Cuba,Cuba
Colombia,Colombia,Colombia,Colombia
Djibouti,Djibouti,Djibouti,Djibouti
St. Barthélemy,St. Barthélemy,St. Barthélemy,St. Barthélemy
Nigeria,Nigeria,Nigeria,Nigeria
Niger,Niger,Niger,Niger
Zimbabwe,Zimbabwe,Zimbabwe,Zimbabwe
Malawi,Malawi,Malawi,Malawi
West Sahara,West Sahara,West Sahara,West Sahara
Sri Lanka,Sri Lanka,Sri Lanka,Sri Lanka
Greenland,Greenland,Greenland,Greenland
Niue,Niue,Niue,Niue
India,India,India,India
Namibia,Namibia,Namibia,Namibia
Honduras,Honduras,Honduras,Honduras
Sudan,Sudan,Sudan,Sudan
Eritrea,Eritrea,Eritrea,Eritrea
Gambia,Gambia,Gambia,Gambia
Kiribati,Kiribati,Kiribati,Kiribati
Kuwait,Kuwait,Kuwait,Kuwait
"Wallis,Futuna","Wallis,Futuna","Wallis,Futuna","Wallis,Futuna"
Solomon Islands,Solomon Islands,Solomon Islands,Solomon Islands
Faroe Islands,Faroe Islands,Faroe Islands,Faroe Islands
UAE,UAE,UAE,UAE
Lesotho,Lesotho,Lesotho,Lesotho
Jamaica,Jamaica,Jamaica,Jamaica
US Min Outl.Is.,US Min Outl.Is.,US Min Outl.Is.,US Min Outl.Is.
Slovakia,Slovakia,Slovakia,Slovakia
Aruba,Aruba,Aruba,Aruba
Cameroon,Cameroon,Cameroon,Cameroon
Guinea,Guinea,Guinea,Guinea
Turks & Caicos,Turks & Caicos,Turks & Caicos,Turks & Caicos
Swaziland,Swaziland,Swaziland,Swaziland
Libya,Libya,Libya,Libya
Curaçao,Curaçao,Curaçao,Curaçao
Italy,Italy,Italy,Italy
Mali,Mali,Mali,Mali
Andorra,Andorra,Andorra,Andorra
Jordan,Jordan,Jordan,Jordan
Antigua/Barbuda,Antigua/Barbuda,Antigua/Barbuda,Antigua/Barbuda
Bahrain,Bahrain,Bahrain,Bahrain
Albania,Albania,Albania,Albania
Papua Nw Guinea,Papua Nw Guinea,Papua Nw Guinea,Papua Nw Guinea
North Korea,North Korea,North Korea,North Korea
Dominican Rep.,Dominican Rep.,Dominican Rep.,Dominican Rep.
Ireland,Ireland,Ireland,Ireland
Saudi Arabia,Saudi Arabia,Saudi Arabia,Saudi Arabia
Burkina Faso,Burkina Faso,Burkina Faso,Burkina Faso
Cook Islands,Cook Islands,Cook Islands,Cook Islands
French Guiana,French Guiana,French Guiana,French Guiana
Angola,Angola,Angola,Angola
Lebanon,Lebanon,Lebanon,Lebanon
Mozambique,Mozambique,Mozambique,Mozambique
Mauritius,Mauritius,Mauritius,Mauritius
Portugal,Portugal,Portugal,Portugal
Latvia,Latvia,Latvia,Latvia
St Kitts&Nevis,St Kitts&Nevis,St Kitts&Nevis,St Kitts&Nevis
Equatorial Gui.,Equatorial Gui.,Equatorial Gui.,Equatorial Gui.
Comoros,Comoros,Comoros,Comoros
Algeria,Algeria,Algeria,Algeria
Mongolia,Mongolia,Mongolia,Mongolia
Saint Lucia,Saint Lucia,Saint Lucia,Saint Lucia
Oman,Oman,Oman,Oman
Ghana,Ghana,Ghana,Ghana
Senegal,Senegal,Senegal,Senegal
