Location,Cat_C
Izmir Airport,0.697886658
Sharjah,1.13082758
Tokyo - Narita,1.444837879
Tokyo - Narita,1.444837879
Sharjah,1.13082758
Sharm El Sheikh,0.8294087293
Fukuoka,1.057981884
Amman,0.6092662004
Sandefjord-Torp,0.6784258751
Hurgada,1.173536848
Tokyo - Narita,1.444837879
Incheon,2.136616582
Vientiane,2.702982585
Luxor,1.492378125
Beijing,1.19159405
Tokyo - Narita,1.444837879
Tokyo - Narita,1.444837879
Berlin Brandenburg,0.9748644432
Al Hoceima,0.2935290134
Fukuoka,1.057981884
Luxor,1.492378125
Chongqing Jiangbei,0.7944693206
Izmir Airport,0.697886658
Hurgada,1.173536848
Berlin Brandenburg,0.9748644432
Jinan Xiaoqiang,0.5518407191
Incheon,2.136616582
Hurgada,1.173536848
Sharm El Sheikh,0.8294087293
Tokyo - Narita,1.444837879
Rostov Don,10
Beijing,1.19159405
Amman,0.6092662004
Incheon,2.136616582
Incheon,2.136616582
DAMMAM,1.084739211
Istanbul Airport,0.4784132085
Jomo Kenyatta,2.013940841
Istanbul Airport,0.4784132085
Changsha Huanghua,1.033472468
Humberside,0.2400820033
Istanbul Airport,0.4784132085
Istanbul Airport,0.4784132085
Santiago Arturo Merino Benitez,1.657401962
Istanbul Asia Airport,0.465385837
Humberside,0.2400820033
Istanbul Asia Airport,0.465385837
Brisbane,1.265177959
Kuwait,0.6916591686
Marseille,1.446182507
Panama Tocumen,0.2242483461
Yerevan,0.1109906648
Istanbul Asia Airport,0.465385837
Mitilini,0.8052192597
Istanbul Airport,0.4784132085
Geneva,0.9340392268
Male,1.414723419
Istanbul Asia Airport,0.465385837
Zurich,1.023178652
Casablanca,3.209642487
Santiago Arturo Merino Benitez,1.657401962
Zurich,1.023178652
Humberside,0.2400820033
Osaka - Kansai,1.458331366
Istanbul Airport,0.4784132085
Cairo,1.607954377
Tel-Aviv,1.234556197
Munich,1.068368833
Vilnius,0.3596393043
Cairo,1.607954377
London Southend Airport,1.388366017
Geneva,0.9340392268
Osaka - Kansai,1.458331366
Hamburg,0.887846306
Istanbul Airport,0.4784132085
Santiago Arturo Merino Benitez,1.657401962
Osaka - Kansai,1.458331366
Port Louis,2.371002678
Wenzhou Longwan,0.3735633526
Male,1.414723419
Malaga,1.763160646
Osaka - Kansai,1.458331366
Paris Orly,1.397840178
Nanchang Changbei,0.4874195656
Xiamen Gaoqi,0.8525528574
Volgograd,0.1319250989
Ningbo Lishe,0.7361556932
Conakry,10
Milan - Malpensa,0.6685808841
Cork,1.263222468
Southampton,1.512905009
Fes,2.868788225
London Luton,0.2610016897
Cancun,1.037689687
Lanzarote,1.098178324
London Luton,0.2610016897
Asyut,1.735771085
Denizli Cardak Airport,0.169333494
Fes,2.868788225
Viracopos,0.9376590309
Wuhan Tianhe,0.89691578
Xiamen Gaoqi,0.8525528574
Xiamen Gaoqi,0.8525528574
Hong Kong,0.6476165631
Heraklion Airport,0.6826565963
Cali,0.1533139624
Xiamen Gaoqi,0.8525528574
Szczecin,0.2434955837
Lodz,0.1972085243
Basel,0.3654691801
Stockholm Arlanda,0.9733841399
Tunis,1.458474688
Tunis,1.458474688
Porto,1.155269867
Shenyang Taoxian,0.7488870891
Bydgoszcz,0.3599229435
Tunis,1.458474688
Basel,0.3654691801
Bogota,0.2134989269
Gran Canaria,1.107682936
Taipei - Taoyuan,1.710446326
Ankara Airport,0.4398326061
Frankfurt,1.091206578
Bogota,0.2134989269
Samsun Airport,0.8108398355
Lille,1.423041684
Tunis,1.458474688
Ibiza,1.700935424
Basel,0.3654691801
Kunming Wujiaba,1.457378636
Hefei Xinqiao,0.4581197708
Chubu,1.24103079
Chubu,1.24103079
Kayseri Airport,0.9349691976
Jeju,2.056074114
Jeddah,0.2054367573
Mexico City,0.2385272933
Fuerteventura,1.157851709
Johannesburg,2.228560047
Tenerife,0.0004411610742
Bourgas,0.2152301119
Chengdu Tianfu,0.5336581126
Managua,0.1579204092
Fuerteventura,1.157851709
Ulaanbaatar,0.0888879898
Manas,0.02822289202
Glasgow Prestwick,1.07175786
Cheongju,1.686358375
Ulaanbaatar,0.0888879898
Sevilla,1.258427783
Trabzon Airport,0.7186730628
Dalaman Airport,1.052994051
Manila - Ninoy Aquino,0.975410108
Jeddah,0.2054367573
Melbourne,1.228139226
Chubu,1.24103079
Dalaman Airport,1.052994051
Rzeszow,0.2355695756
Mexico City,0.2385272933
Kralendijk (Bonaire),0.8950898883
Basseterre (Saint Kitts),1.084827665
Reus,1.717180383
Basseterre (Saint Kitts),1.084827665
Ekaterinburg,0.2110681531
Manas,0.02822289202
Kayseri Airport,0.9349691976
Tirana,0.1402701332
Paderborn,1.027319984
Abuja,1.187898018
Jeju,2.056074114
Ohrid,0.2897395862
Melbourne,1.228139226
Cape Town,1.735535428
Kutahya Airport,0.4090864169
Antalya Gazipasa Airport,1.439675576
Weihai Dashuibo,0.2822567461
Mexico City,0.2385272933
Medina,0.4718848719
Kayseri Airport,0.9349691976
Johannesburg,2.228560047
Tenerife,0.0004411610742
Edinburgh,1.269674668
Macau,0.6771237964
Corfu,0.6145977681
Zhengzhou Xinzheng,1.028610335
Aberdeen,1.699953892
Addis Ababa,2.65541043
Erbil International Airport,0.5999540975
Basrah,0.3210985192
Hrabrovo,10
Dubai,1.515168748
Moscow - Vnukovo,0.1127165655
Zhengzhou Xinzheng,1.028610335
Juba,10
Lublin,0.2895384295
Perth,1.405656514
Dubai,1.515168748
Zhengzhou Xinzheng,1.028610335
Aberdeen,1.699953892
Aswan,1.480854199
Gabon,0.8906532696
Santiago Cibao,0.0001076732603
Aberdeen,1.699953892
Addis Ababa,2.65541043
Naha,2.266347811
Nuernberg,0.5119997636
Aberdeen,1.699953892
Edinburgh,1.269674668
Hanoi,0.5826547729
Hrabrovo,10
Birmingham,1.136442734
Daegu,2.203981975
Aswan,1.480854199
Edinburgh,1.269674668
Montego Bay,1.301444671
Nice,1.088374707
Montego Bay,1.301444671
Charleroi,1.461576437
Barcelona,1.459222
Addis Ababa,2.65541043
Lublin,0.2895384295
Piarco,1.836172017
Daegu,2.203981975
Addis Ababa,2.65541043
Ciampino Airport,0.431446665
Nice,1.088374707
Montego Bay,1.301444671
Singapore - Changi,0.4352900588
Lublin,0.2895384295
Gabon,0.8906532696
Buenos Aires Aeroparque,0.04721051746
Trichy,10
Santander,1.342271939
Singapore - Changi,0.4352900588
Piarco,1.836172017
Guadalajara,0.02622714002
Corfu,0.6145977681
Thessaloniki,0.3334414667
Yinchuan Hedong,0.6017644879
Barcelona,1.459222
Aswan,1.480854199
Naples,0.8722658137
Yantai Penglai,0.6511585868
Athens,0.2819030416
Sao Paulo - Guarulhos,1.210241006
Los Cabos,0.6236109757
Rio de Janeiro,1.195630312
Essaouira,0.2647015076
London Heathrow,0.9933669697
Antalya Airport,0.6962273972
Rio de Janeiro,1.195630312
Colombo,0.3735330654
Skopje,0.5430750475
Krasnodar,10
Salalah,0.5032859978
Los Cabos,0.6236109757
Kos,0.8582194649
Alicante,1.548582844
London Heathrow,0.9933669697
London Gatwick,0.9496475533
Espargos,1.170750371
London Gatwick,0.9496475533
Antalya Airport,0.6962273972
Athens,0.2819030416
Quito,1.012172393
Oranjestad,0.6674931594
Monastir,0.8121312867
Munster-Osnabruck,0.5179522691
Colombo,0.3735330654
Oranjestad,0.6674931594
Quito,1.012172393
Los Cabos,0.6236109757
Porto Alegre,0.5910200812
Puerto Plata,1.31408281
Durban,1.931155393
Rio de Janeiro,1.195630312
Ouarzazate,0.2779803891
Alicante,1.548582844
Oranjestad,0.6674931594
Ouarzazate,0.2779803891
Abu Dhabi,1.186127815
Duesseldorf,0.9614019588
Oranjestad,0.6674931594
Rome Fiumicino,0.9165775278
Oranjestad,0.6674931594
Liverpool,0.9204917942
Sao Paulo - Guarulhos,1.210241006
Vigo,1.276988473
Lyon Saint Exupery,1.26831374
Busan - Kimhae,1.879322242
Colombo,0.3735330654
Athens,0.2819030416
Los Cabos,0.6236109757
Essaouira,0.2647015076
Antalya Airport,0.6962273972
Skopje,0.5430750475
Duesseldorf,0.9614019588
Oranjestad,0.6674931594
Monastir,0.8121312867
Essaouira,0.2647015076
Alicante,1.548582844
Sao Paulo - Guarulhos,1.210241006
Sao Paulo - Guarulhos,1.210241006
La Romana,0.4366087021
Treviso,0.315526836
Leeds Bradford,1.062982148
Bodrum Airport,0.6006246083
Oslo,1.356286487
Brussels,1.891281189
Brasilia,1.290048627
Hannover,1.218335635
Ras El Khaymah,0.05089244877
Rabat,3.207918598
Marrakech,2.475260288
Marrakech,2.475260288
Almaty,0.009602303078
Dar Es Salaam,3.092885547
Bodrum Airport,0.6006246083
Marrakech,2.475260288
Paris Charles De Gaulle,1.072053472
Recife,0.7364236727
Qingdao Liuting,0.6362868059
Nador,2.912244563
Recife,0.7364236727
Glasgow,1.205602929
Santiago De Compostela,1.605561781
Rabat,3.207918598
Oujda,2.9123408
Glasgow,1.205602929
Recife,0.7364236727
Marrakech,2.475260288
Elblag,0.00187086801
Dalian Zhoushuizi,0.523553733
Brasilia,1.290048627
Bodrum Airport,0.6006246083
Vienna,0.7438231123
Kinshasa,0.06951241337
Leeds Bradford,1.062982148
Bodrum Airport,0.6006246083
Santiago De Compostela,1.605561781
Nouakchott,3.279350787
Oujda,2.9123408
Dar Es Salaam,3.092885547
Windhoek,0.2574304008
Brasilia,1.290048627
Brasilia,1.290048627
Everrich Downtown Kinmen,0.07547243454
Oujda,2.9123408
Glasgow,1.205602929
Acapulco,10
Almaty,0.009602303078
Dar Es Salaam,3.092885547
London Stansted,0.883762157
Rabat,3.207918598
Glasgow,1.205602929
Bridgetown,1.314346136
Bodrum Airport,0.6006246083
Nador,2.912244563
Paris Charles De Gaulle,1.072053472
Nador,2.912244563
Hangzhou Xiaoshan,0.6991381356
Amman,0.6092662004
Fukuoka,1.057981884
Punta Cana - Higuey,1.112599668
Guangzhou Baiyun,1.211533169
Lima,1.41840426
Samana El Catey,0.4964626818
Luxor,1.492378125
Lima,1.41840426
Kutaisi,0.5155434203
Mahon Airport,1.997327081
Samana El Catey,0.4964626818
Fukuoka,1.057981884
Sharm El Sheikh,0.8294087293
Luxor,1.492378125
Guangzhou Baiyun,1.211533169
Incheon,2.136616582
Toulouse,1.369462661
Beijing,1.19159405
Izmir Airport,0.697886658
Gerona,1.838531966
Warsaw,0.1870207167
Ho Chi Minh,0.6233491385
Lima,1.41840426
Al Hoceima,0.2935290134
Izmir Airport,0.697886658
Graz,0.9271440526
Beijing,1.19159405
Shanghai Pudong,1.236669917
Luxor,1.492378125
Hangzhou Xiaoshan,0.6991381356
Madrid Barajas,1.366341702
Berlin Brandenburg,0.9748644432
RIYADH,0.8485624614
Tangier,3.105891819
Sharm El Sheikh,0.8294087293
Tangier,3.105891819
Izmir Airport,0.697886658
Izmir Airport,0.697886658
Sharjah,1.13082758
Ho Chi Minh,0.6233491385
Valencia,1.084426251
RIYADH,0.8485624614
Amman,0.6092662004
London City,1.757892944
DAMMAM,1.084739211
Gerona,1.838531966
Florianopolis,0.8043012565
Izmir Airport,0.697886658
Tokyo - Haneda,1.408413817
Rostov Don,10
Toulouse,1.369462661
Gerona,1.838531966
Punta Cana - Higuey,1.112599668
Mahon Airport,1.997327081
Al Hoceima,0.2935290134
RIYADH,0.8485624614
Beijing,1.19159405
Tokyo - Haneda,1.408413817
Izmir Airport,0.697886658
Incheon,2.136616582
Punta Cana - Higuey,1.112599668
Berlin Brandenburg,0.9748644432
Amman,0.6092662004
Guangzhou Baiyun,1.211533169
RIYADH,0.8485624614
Tangier,3.105891819
Lima,1.41840426
Lima,1.41840426
DAMMAM,1.084739211
Rotterdam,0.2002612625
Punta Cana - Higuey,1.112599668
Strasbourg,1.33174758
Agadir,2.579923639
Tokyo - Narita,1.444837879
Punta Cana - Higuey,1.112599668
Agadir,2.579923639
Amsterdam - Schiphol,0.3773708503
Beijing,1.19159405
Hangzhou Xiaoshan,0.6991381356
Tangier,3.105891819
Rhodes,0.5943464729
PRISTINA,0.2869327976
Madrid Barajas,1.366341702
DAMMAM,1.084739211
Jinan Xiaoqiang,0.5518407191
Dublin,1.253246349
DAMMAM,1.084739211
Cairo,1.607954377
Istanbul Airport,0.4784132085
Istanbul Airport,0.4784132085
Rabil,1.178236195
Kuwait,0.6916591686
Istanbul Airport,0.4784132085
Alexandria,0.5658426418
Yerevan,0.1109906648
Mitilini,0.8052192597
Marseille,1.446182507
Geneva,0.9340392268
Cairo,1.607954377
Osaka - Kansai,1.458331366
Ngurah Rai,0.6137193109
Osaka - Kansai,1.458331366
Marseille,1.446182507
Alexandria,0.5658426418
Casablanca,3.209642487
Kuwait,0.6916591686
Istanbul Airport,0.4784132085
Eindhoven,0.5936014177
Zurich,1.023178652
Santiago Arturo Merino Benitez,1.657401962
Xian Xianyang,0.4169172134
Rabil,1.178236195
Changsha Huanghua,1.033472468
Ngurah Rai,0.6137193109
Curacao,1.030633338
Jerba,1.566804571
Jerba,1.566804571
Istanbul Airport,0.4784132085
Yerevan,0.1109906648
Zurich,1.023178652
Geneva,0.9340392268
Istanbul Asia Airport,0.465385837
Ngurah Rai,0.6137193109
Harbin Taiping,0.5968041076
Osaka - Kansai,1.458331366
Kuwait,0.6916591686
Diyarbakir Airport,0.5579624734
Nantes,1.506162503
Panama Tocumen,0.2242483461
Tuzla,0.2958359323
Beirut - Rafik Hariri,0.02422859045
Istanbul Asia Airport,0.465385837
Panama Tocumen,0.2242483461
Jerba,1.566804571
Casablanca,3.209642487
Istanbul Asia Airport,0.465385837
Wenzhou Longwan,0.3735633526
London Southend Airport,1.388366017
Jerba,1.566804571
Geneva,0.9340392268
St. Petersburg Pulkovo,0.213932548
Panama Tocumen,0.2242483461
Osaka - Kansai,1.458331366
Ufa,10
Ngurah Rai,0.6137193109
Alexandria,0.5658426418
Sfax,1.585748008
Istanbul Airport,0.4784132085
Jerba,1.566804571
London Southend Airport,1.388366017
Xian Xianyang,0.4169172134
Istanbul Airport,0.4784132085
Phu Quok,1.096029627
Panama Tocumen,0.2242483461
Yerevan,0.1109906648
Tbilisi,0.4380213266
Istanbul Asia Airport,0.465385837
Zurich,1.023178652
Alexandria,0.5658426418
Cairo,1.607954377
Wenzhou Longwan,0.3735633526
Shizuoka,0.6459389842
London Southend Airport,1.388366017
Ngurah Rai,0.6137193109
Hong Kong,0.6476165631
Hong Kong,0.6476165631
Cancun,1.037689687
Seoul,2.120479482
Sochi,0.1409291394
St. George's Point Saline,1.379249372
Konya Airport,0.7540959865
Cork,1.263222468
Cali,0.1533139624
Lanzarote,1.098178324
Gaziantep Airport,0.4599756867
Manama,0.8867238588
Mudanjiang Hailang,0.2827954029
Cancun,1.037689687
Aqaba,0.288267209
A Coruna,0.9133771439
Fes,2.868788225
Ningbo Lishe,0.7361556932
Gdansk,0.3086137464
Gaziantep Airport,0.4599756867
Cancun,1.037689687
Heraklion Airport,0.6826565963
Paris Orly,1.397840178
Gaziantep Airport,0.4599756867
Paris Orly,1.397840178
Wuhan Tianhe,0.89691578
Bournemouth,1.07643272
Ningbo Lishe,0.7361556932
London Luton,0.2610016897
Xiamen Gaoqi,0.8525528574
Viracopos,0.9376590309
Fes,2.868788225
Accra,2.662294783
Paris Orly,1.397840178
Fes,2.868788225
St. George's Point Saline,1.379249372
Cukurova Airport,0.4159634835
St. George's Point Saline,1.379249372
Gaziantep Airport,0.4599756867
Xiamen Gaoqi,0.8525528574
Aqaba,0.288267209
Asyut,1.735771085
Seoul,2.120479482
Hong Kong,0.6476165631
Heraklion Airport,0.6826565963
St. George's Point Saline,1.379249372
Southampton,1.512905009
Sofia,0.1173636822
Southampton,1.512905009
Fes,2.868788225
Yanji Zhaoyangchuan,0.2801296955
Wuhan Tianhe,0.89691578
Seoul,2.120479482
Manama,0.8867238588
Mudanjiang Hailang,0.2827954029
Wuhan Tianhe,0.89691578
Fes,2.868788225
A Coruna,0.9133771439
Gdansk,0.3086137464
Fort-de-France,1.963475807
Taipei - Taoyuan,1.710446326
Samsun Airport,0.8108398355
Porto,1.155269867
Doha,0.4350533797
Samsun Airport,0.8108398355
Bilbao,2.065733405
Tunis,1.458474688
Kunming Wujiaba,1.457378636
Wuxi Shuofang,0.4577404597
Doha,0.4350533797
Ibiza,1.700935424
Bogota,0.2134989269
Ankara Airport,0.4398326061
Bogota,0.2134989269
Chattrapati Shivaji,0.9327713891
Hohhot Baita,0.01528215272
Gran Canaria,1.107682936
Bogota,0.2134989269
Bujumbura,2.442853966
Lille,1.423041684
Ankara Airport,0.4398326061
Urumchi Diwobao,0.1164704647
Xuzhou Guanyin,0.03894118441
Wuxi Shuofang,0.4577404597
Samsun Airport,0.8108398355
Samsun Airport,0.8108398355
Tunis,1.458474688
Entebbe,1.225576896
Mendoza,0.4033782752
Phnom Penh,1.530130782
Samsun Airport,0.8108398355
Fort-de-France,1.963475807
Ankara Airport,0.4398326061
Ibiza,1.700935424
Ankara Airport,0.4398326061
Karlsruhe Baden-Baden,10
Kunming Wujiaba,1.457378636
Ankara Airport,0.4398326061
Belo Horizonte,1.066083247
Roland Garros,1.827873587
Phnom Penh,1.530130782
Guatemala City,0.520332107
Basel,0.3654691801
Fort-de-France,1.963475807
Moscow - Sheremetyevo,0.1315517612
Faro Airport,1.488767933
Roland Garros,1.827873587
Szczecin,0.2434955837
Ankara Airport,0.4398326061
Ankara Airport,0.4398326061
Szczecin,0.2434955837
Doha,0.4350533797
Kunming Wujiaba,1.457378636
Kunming Wujiaba,1.457378636
Samsun Airport,0.8108398355
Ankara Airport,0.4398326061
Chattrapati Shivaji,0.9327713891
Trondheim,1.589751501
Sihanoukville,0.6345567052
Antalya Gazipasa Airport,1.439675576
Mexico City,0.2385272933
Taiyuan Wusu,0.5227483975
Hatay Airport,10
Trondheim,1.589751501
Almeria,2.414848455
Tenerife,0.0004411610742
Eskisehir Airport,0.442474796
Sevilla,1.258427783
Bangalore,0.8531891528
Antalya Gazipasa Airport,1.439675576
Cape Town,1.735535428
Ulaanbaatar,0.0888879898
Reus,1.717180383
Trabzon Airport,0.7186730628
Antalya Gazipasa Airport,1.439675576
Bangalore,0.8531891528
Dalaman Airport,1.052994051
Ohrid,0.2897395862
Antalya Gazipasa Airport,1.439675576
Kutahya Airport,0.4090864169
Chitose,1.850129611
Mazatlan,1.266465773
Wroclaw,0.2075982265
Dalaman Airport,1.052994051
East Midlands,1.034490353
Basseterre (Saint Kitts),1.084827665
Kutahya Airport,0.4090864169
Dalaman Airport,1.052994051
Sihanoukville,0.6345567052
Shenzhen Bao'an,10
Taiyuan Wusu,0.5227483975
Managua,0.1579204092
Abidjan,0.8973644823
Antalya Gazipasa Airport,1.439675576
Fuerteventura,1.157851709
Shenzhen Bao'an,10
Weihai Dashuibo,0.2822567461
Abuja,1.187898018
Manas,0.02822289202
Praia,1.2410168
Antalya Gazipasa Airport,1.439675576
Dalaman Airport,1.052994051
Medina,0.4718848719
Hefei Xinqiao,0.4581197708
Ekaterinburg,0.2110681531
Mazatlan,1.266465773
Taiyuan Wusu,0.5227483975
Basseterre (Saint Kitts),1.084827665
Kutahya Airport,0.4090864169
Monterrey,0.08174120963
Ohrid,0.2897395862
Bordeaux,1.539439394
Kayseri Airport,0.9349691976
Cheongju,1.686358375
Managua,0.1579204092
Kayseri Airport,0.9349691976
Cheongju,1.686358375
Melbourne,1.228139226
Alexandoupolis,0.1390161495
Eskisehir Airport,0.442474796
Antalya Gazipasa Airport,1.439675576
Managua,0.1579204092
Bangalore,0.8531891528
Ulaanbaatar,0.0888879898
Taiyuan Wusu,0.5227483975
Dalaman Airport,1.052994051
Trabzon Airport,0.7186730628
Paderborn,1.027319984
Dalaman Airport,1.052994051
Erfurt,10
Trabzon Airport,0.7186730628
East Midlands,1.034490353
Abidjan,0.8973644823
Weihai Dashuibo,0.2822567461
Kayseri Airport,0.9349691976
Hefei Xinqiao,0.4581197708
Trabzon Airport,0.7186730628
Kayseri Airport,0.9349691976
Weihai Dashuibo,0.2822567461
Dalaman Airport,1.052994051
Alexandoupolis,0.1390161495
Bologna,0.5230382679
Cheongju,1.686358375
Jeddah,0.2054367573
Mexico City,0.2385272933
Dalaman Airport,1.052994051
Mazatlan,1.266465773
Trabzon Airport,0.7186730628
Eskisehir Airport,0.442474796
Shandong,10
Cape Town,1.735535428
Melbourne,1.228139226
Ulaanbaatar,0.0888879898
Cheongju,1.686358375
Medina,0.4718848719
Chengdu Tianfu,0.5336581126
Chengdu Tianfu,0.5336581126
Jeju,2.056074114
Kralendijk (Bonaire),0.8950898883
Mexico City,0.2385272933
Shenzhen Bao'an,10
Fuerteventura,1.157851709
Shenzhen Bao'an,10
Samarkand,10
Basseterre (Saint Kitts),1.084827665
Antalya Gazipasa Airport,1.439675576
Eskisehir Airport,0.442474796
Manila - Ninoy Aquino,0.975410108
Cheongju,1.686358375
Skiathos,0.1971237264
Ramon,10
Abuja,1.187898018
Antalya Gazipasa Airport,1.439675576
Dalaman Airport,1.052994051
Weihai Dashuibo,0.2822567461
Alexandoupolis,0.1390161495
Medina,0.4718848719
Hiroshima,1.299474856
Sihanoukville,0.6345567052
Praia,1.2410168
Manas,0.02822289202
Shandong,10
Shandong,10
Dalaman Airport,1.052994051
Medina,0.4718848719
Jeddah,0.2054367573
Hefei Xinqiao,0.4581197708
Chubu,1.24103079
Weihai Dashuibo,0.2822567461
Tirana,0.1402701332
Chengdu Tianfu,0.5336581126
Chengdu Tianfu,0.5336581126
Trabzon Airport,0.7186730628
Naples,0.8722658137
Santander,1.342271939
Aswan,1.480854199
Yinchuan Hedong,0.6017644879
Birmingham,1.136442734
Yaounde,10
Edinburgh,1.269674668
Dubai,1.515168748
Perth,1.405656514
Batumi,0.1160913325
Birmingham,1.136442734
Gibraltar,1.034132754
Guadalajara,0.02622714002
Guadalajara,0.02622714002
Batumi,0.1160913325
Min Vody,0.2708618435
Addis Ababa,2.65541043
Hanoi,0.5826547729
Palma De Mallorca,1.663833814
Aswan,1.480854199
Santiago Cibao,0.0001076732603
Thessaloniki,0.3334414667
Addis Ababa,2.65541043
Santander,1.342271939
Aswan,1.480854199
Aswan,1.480854199
Tashkent,0.05306588054
Edinburgh,1.269674668
Buenos Aires Aeroparque,0.04721051746
Barcelona,1.459222
Astrakhan,1.141586525e-09
Ciampino Airport,0.431446665
Samos,0.7918956688
Daegu,2.203981975
Dubai,1.515168748
Gibraltar,1.034132754
Barcelona,1.459222
Palma De Mallorca,1.663833814
Corfu,0.6145977681
Addis Ababa,2.65541043
Addis Ababa,2.65541043
Aberdeen,1.699953892
Addis Ababa,2.65541043
Erbil International Airport,0.5999540975
Natal,0.3488454797
Birmingham,1.136442734
Naha,2.266347811
Min Vody,0.2708618435
Montego Bay,1.301444671
Santiago Cibao,0.0001076732603
Singapore - Changi,0.4352900588
Addis Ababa,2.65541043
Zakynthos,0.7568002526
Edinburgh,1.269674668
Moscow - Vnukovo,0.1127165655
Gabon,0.8906532696
Dubai,1.515168748
Hanoi,0.5826547729
Krakow Balice,0.3625501763
Batumi,0.1160913325
Montego Bay,1.301444671
Hanoi,0.5826547729
Hrabrovo,10
Zhengzhou Xinzheng,1.028610335
Daegu,2.203981975
Buenos Aires Aeroparque,0.04721051746
Guayaquil,1.418927862
Astrakhan,1.141586525e-09
Aswan,1.480854199
Aberdeen,1.699953892
Zhengzhou Xinzheng,1.028610335
Guadalajara,0.02622714002
Perth,1.405656514
Singapore - Changi,0.4352900588
Zhengzhou Xinzheng,1.028610335
Guadalajara,0.02622714002
Yinchuan Hedong,0.6017644879
Zhengzhou Xinzheng,1.028610335
Naples,0.8722658137
Zakynthos,0.7568002526
Ostrava,0.06930058933
Palma De Mallorca,1.663833814
Sanya Fenghuang,0.1190303431
Santiago Cibao,0.0001076732603
Daegu,2.203981975
Perth,1.405656514
Palma De Mallorca,1.663833814
Hrabrovo,10
Guayaquil,1.418927862
Edinburgh,1.269674668
Corfu,0.6145977681
Lviv,10
Grenoble,0.2440082261
Gabon,0.8906532696
Juba,10
Bari,0.5248511261
Zhengzhou Xinzheng,1.028610335
Yinchuan Hedong,0.6017644879
Guadalajara,0.02622714002
Astrakhan,1.141586525e-09
Oita,0.8375748374
Natal,0.3488454797
Sanya Fenghuang,0.1190303431
Guayaquil,1.418927862
Lublin,0.2895384295
Trichy,10
Lviv,10
Astrakhan,1.141586525e-09
