Location,PMI_Volume
Fes,30894400
Jaipur,0
Kalibo,45400
Ostrava,194400
Weihai Dashuibo,241600
Voronezh,0
Oujda,16203400
Tarbes - Lourdes,75200
Samsun Airport,2101200
Bamako,5621200
Lille,376600
Oranjestad,6539200
Kunming Wujiaba,1543400
Samarkand,0
Kinshasa,2120000
Astana,926800
Xuzhou Guanyin,14400
PRISTINA,11230200
Aalborg,138703
Vilnius,13286000
Gerona,1006200
Istanbul Airport,172868000
Quito,3783000
Niamey,141000
Lisbon,12143800
Liverpool,1394800
Stockholm Arlanda,5745400
Islamabad,0
Kuwait,222179800
Entebbe,3451205
Wellington,0
Abidjan,3635600
Bydgoszcz,6007000
Mudanjiang Hailang,10800
Doncaster,0
Taipei - Taoyuan,85758356
Banja Luka,1637220
Madrid Barajas,13750200
Rabat,23804800
Moscow - Sheremetyevo,2776800
Manchester,7579000
Faroe Islands,320000
Tulear,1168001
A Coruna,159800
Jieyang Chaoshan,0
Kagoshima,58400
Minsk,26360
Gabon,1242800
Punta Cana - Higuey,24900600
Lusaka,617200
Murcia,1612600
Krasnodar,0
Aktio,478800
Kutahya Airport,107400
London Heathrow,17992000
Enfidha,12149400
Pengsheng,3199840
Xian Xianyang,1859939
Tbilisi,8910000
Granada,37000
Alicante,13965800
Qingdao Liuting,2036800
Cali,2890806
Tunis,53196200
London Southend Airport,90800
Samara,13200
Queenstown,5000
Helsinki-Vantaa,1298800
Kota Kinabalu,1104800
Netaji Subhash Chandra Bose Int. Airport,0
Medina,12493600
Bogota,13094198
Erbil International Airport,12596000
Vladivostok,0
Duesseldorf,5559600
London City,854600
Bridgetown,3434022
Shenzhen Bao'an,0
Konya Airport,398200
San Salvador Comalapa,6240200
Cam Ranh,3192200
Radom,21400
Trabzon Airport,3584000
Ningbo Lishe,194000
Cheongju,1884600
Odessa,0
St. Petersburg Pulkovo,502200
Punta del Este,1600
Almeria,424000
Glasgow Prestwick,33400
Kigali,559200
London Stansted,6086800
Sevilla,1384600
Manila - Ninoy Aquino,2539200
Yantai Penglai,415200
East Midlands,746000
Yingsheng,0
Almaty,2345000
Tirana,57031600
Nouakchott,742800
Gdansk,39668080
Leopold Sedar Senghar,8687000
London Luton,3071000
Malaga,12293200
Basrah,10660000
Chengdu Tianfu,3855420
Dalaman Airport,14043000
Sharm El Sheikh,11283151
Faro Airport,8409400
La Palma,1120000
Dubrovnik,2019400
Treviso,236600
Kazan,0
Changzhou Benniu,0
Montevideo,1104200
Montego Bay,5899002
Chitose,2921400
Palermo,1159000
Melbourne,399601
Skopje,10877000
Madeira,2989600
Cologne,2671384
Bangalore,3209600
Ulaanbaatar,133800
Johannesburg,12794200
Rosario,44800
Lubumbashi,0
Amritsar,0
Tangier,23866000
Santiago De Compostela,780400
Wroclaw,17273000
Monastir,37485200
Rzeszow,8507600
Ufa,0
Dublin,9644200
Santiago Cibao,3536800
Bergen,2555300
Sihanoukville,20400
Milan - Linate,1247200
Antalya Gazipasa Airport,2823200
Fuerteventura,16162000
Douala,595200
Dnipropetrovsk,0
Paris Charles De Gaulle,48528000
Salalah,13943400
Cairo,125234733
Shanghai Pudong,76398935
RIYADH,75354800
Bujumbura,112400
Gibraltar,3659030
Reus,1062400
Antigua,396003
Hrabrovo,0
Toulouse,2476200
Alexandoupolis,1129400
Penang,797800
Espargos,14028200
Danang,3295800
Komatsu,97000
Hefei Xinqiao,455400
Diyarbakir Airport,1248400
Geneva,17031400
Nairobi,253200
Mombasa,0
