DF_Market,Location,Flavor,Taste,Thickness,Length,Comp_Seg_SKU,Comp_Total,SoM_Comp
Mexico,Puerto Vallarta,Menthol,Full Flavor,STD,KS,1,13,15.384615000000
China,Mudanjiang Hailang,Menthol,Full Flavor,STD,LONGER THAN KS,1,10,10.000000000000
Turkey,Denizli Cardak Airport,Menthol Caps,Full Flavor,STD,KS,1,6,16.666667000000
Spain,Reus,Regular,Full Flavor,SSL,100,1,7,14.285714000000
United Arab Emirates,Sharjah,Menthol,Full Flavor,SLI,100,1,3,33.333333000000
Turkey,Istanbul Asia Airport,NTD Caps,Full Flavor,SSL,100,2,31,29.390681000000
France,Grenoble,Regular,Full Flavor,SSL,100,1,4,50.000000000000
France DP,Nice,Regular,Lights,STD,KS,2,12,27.777778000000
Taiwan,Taichung,Regular,Full Flavor,SSL,100,1,7,14.285714000000
Turkey,Izmir Airport,Regular,Full Flavor,STD,LONGER THAN KS,1,27,7.407407000000
Ivory Coast,Abidjan,Regular,Full Flavor,SLI,100,1,15,6.666667000000
Hong Kong,Hong Kong,Menthol,Full Flavor,STD,KS,1,14,17.142857000000
Portugal,Lisbon,NTD Caps,Full Flavor,SSL,100,1,2,50.000000000000
Greece,Skiathos,Menthol,Full Flavor,SSL,100,1,3,33.333333000000
Macau,Macau,Menthol,Full Flavor,STD,KS,1,10,22.500000000000
Russia,Sochi,Regular,Lights,STD,KS,1,11,27.272727000000
Italy,Naples,Regular,Lights,STD,100,1,9,11.111111000000
Great Britain,Manchester,Regular,Lights,STD,100,1,11,9.090909000000
Gambia,Banjul,Menthol,Full Flavor,SSL,100,1,9,11.111111000000
Turkey,Trabzon Airport,Menthol,Full Flavor,SSL,100,1,20,10.000000000000
China,Harbin Taiping,Menthol,Full Flavor,STD,LONGER THAN KS,1,10,10.000000000000
Turkey,Adana Airport,NTD Caps,Full Flavor,STD,KS,1,17,5.882353000000
Great Britain,Manchester,Regular,Full Flavor,STD,KS,3,13,60.198135000000
Spain,Valencia,Regular,Full Flavor,SSL,100,1,9,31.111111000000
Spain,Malaga,Regular,Full Flavor,SSL,100,1,9,31.111111000000
Italy,Florence,Regular,Lights,STD,KS,2,8,37.500000000000
Turkey,Konya Airport,Regular,Full Flavor,STD,KS,3,21,64.642857000000
Turkey,Diyarbakir Airport,Regular,Full Flavor,STD,100,3,32,8.806818333333
France,Paris Charles De Gaulle,Regular,Full Flavor,SSL,100,1,6,33.333333000000
China,Mudanjiang Hailang,NTD Caps,Full Flavor,SSL,100,1,3,33.333333000000
China,Xian Xianyang,Regular,Lights,STD,KS,1,20,10.000000000000
Norway,Stavanger,Regular,Full Flavor,STD,KS,4,11,84.848485000000
China,Xuzhou Guanyin,Regular,Lights,STD,KS,1,17,5.882353000000
Cambodia,Phnom Penh,Regular,Full Flavor,SSL,100,3,25,34.452381000000
Spain,Malaga,NTD Caps,Full Flavor,STD,KS,1,16,6.250000000000
Turkey,Samsun Airport,Regular,Full Flavor,STD,KS,4,27,50.859788250000
United Arab Emirates,Abu Dhabi,Regular,Lights,STD,KS,2,18,22.065108000000
Turkey,Ankara Airport,NTD Caps,Full Flavor,SSL,100,1,37,2.702703000000
Georgia,Batumi,Regular,Full Flavor,STD,100,1,8,12.500000000000
Spain DP,Bilbao,Regular,Lights,STD,KS,2,9,19.894180000000
Spain DP,Barcelona,NTD Caps,Full Flavor,STD,KS,1,16,6.250000000000
Cambodia,Sihanoukville,Regular,Full Flavor,SSL,100,2,6,58.888889000000
Great Britain,Glasgow,Regular,Full Flavor,STD,100,1,11,9.090909000000
China,Shanghai Hongqiao,Regular,Full Flavor,STD,KS,4,20,84.000000000000
Colombia,Cali,Regular,Full Flavor,SSL,100,1,10,12.142857000000
China,Taiyuan Wusu,Menthol,Full Flavor,SSL,100,1,3,33.333333000000
France,Tarbes - Lourdes,Regular,Full Flavor,STD,100,1,5,20.000000000000
Cape Verde,Rabil,Regular,Full Flavor,STD,KS,3,6,66.666666666667
Russia,Volgograd,Regular,Full Flavor,STD,KS,2,14,66.071428500000
Morocco,Ouarzazate,NTD Caps,Full Flavor,SSL,100,1,15,6.666667000000
Ethiopia,Addis Ababa,Menthol,Full Flavor,STD,KS,1,25,5.333333500000
Spain,Reus,Regular,Full Flavor,STD,KS,3,11,62.987013000000
Turkey,Antalya Airport,Regular,Full Flavor,SLI,KS,1,1,100.000000000000
Sri Lanka,Colombo,Regular,Full Flavor,STD,100,1,4,25.000000000000
Mexico,Cozumel,Regular,Full Flavor,SSL,100,2,13,12.237762000000
China,Yantai Penglai,Menthol,Full Flavor,SSL,100,1,3,33.333333000000
France,Bordeaux,Regular,Full Flavor,STD,KS,3,7,57.142857000000
Italy,Bergamo,Regular,Full Flavor,STD,KS,3,8,57.291666750000
Morocco,Essaouira,Regular,Full Flavor,SSL,100,2,16,9.791666500000
Great Britain,Leeds Bradford,Regular,Ultralights,STD,KS,1,3,33.333333000000
Jordan,Amman,Regular,Full Flavor,SLI,KS,1,23,4.347826000000
Spain DP,Santiago De Compostela,Regular,Full Flavor,STD,KS,3,9,66.878307000000
Kyrgyzstan,Manas,Regular,Full Flavor,STD,LONGER THAN KS,1,22,4.545455000000
Spain,Ibiza,Regular,Full Flavor,STD,KS,2,17,65.196078333333
Great Britain,London Gatwick,Regular,Lights,STD,KS,2,13,24.358974000000
Great Britain,London City,Regular,Full Flavor,STD,100,1,5,20.000000000000
China,Hohhot Baita,Menthol,Full Flavor,STD,KS,2,20,7.500000000000
China,Nanchang Changbei,Regular,Full Flavor,STD,100,1,20,5.000000000000
India,Bangalore,Regular,Lights,STD,100,1,14,7.417582500000
Great Britain,London Stansted,Regular,Full Flavor,STD,100,1,11,9.090909000000
Trinidad and Tobago,Piarco,NTD Caps,Full Flavor,STD,KS,1,5,20.000000000000
Australia,Perth,Regular,Lights,STD,100,1,15,6.666667000000
Sri Lanka,Colombo,Regular,Full Flavor,SSL,100,1,5,60.000000000000
Great Britain,Manchester,Regular,Full Flavor,SSL,100,1,2,100.000000000000
Turkey,Konya Airport,Regular,Full Flavor,SSL,100,2,21,14.880952500000
Egypt,Cairo,Regular,Full Flavor,STD,KS,2,12,61.904762000000
South Korea,Muan,NTD Caps,Full Flavor,STD,KS,1,43,16.279070000000
China,Sanya Fenghuang,Menthol,Full Flavor,SLI,100,1,2,50.000000000000
Austria,Graz,Regular,Lights,STD,KS,1,7,23.809523500000
China,Hohhot Baita,Regular,Full Flavor,STD,KS,4,20,84.000000000000
China,Wuhan Tianhe,Menthol,Full Flavor,STD,LONGER THAN KS,1,10,10.000000000000
Tunisia,Monastir,Regular,Full Flavor,STD,KS,3,27,66.452241800000
Serbia,Belgrade,Regular,Full Flavor,SSL,100,2,7,64.285714000000
France DP,Nice,Menthol,Full Flavor,SSL,100,1,12,8.333333000000
South Korea,Yangyang,Regular,Full Flavor,SSL,100,1,30,30.000000000000
Senegal,Leopold Sedar Senghar,Regular,Full Flavor,STD,100,1,19,5.263158000000
Jordan,Aqaba,Regular,Full Flavor,SSL,KS,1,12,8.333333000000
Lithuania,Vilnius,Regular,Lights,STD,KS,2,5,70.000000000000
China,Shenyang Taoxian,Regular,Full Flavor,SSL,100,2,10,34.444444333333
Greece,Athens,Regular,Full Flavor,SSL,100,2,12,22.348484500000
Serbia,Nis,Regular,Full Flavor,STD,100,1,6,33.333333000000
China,Dalian Zhoushuizi,Menthol,Full Flavor,SSL,100,1,3,33.333333000000
Turkey,Bodrum Airport,Menthol,Full Flavor,SSL,100,1,35,9.761905000000
Gambia,Banjul,Regular,Full Flavor,SSL,100,1,9,22.222222000000
France DP,Nantes,Regular,Full Flavor,STD,100,1,5,20.000000000000
Japan,Fukuoka,NTD Caps,Full Flavor,STD,KS,2,59,8.945386000000
China,Chongqing Jiangbei,Regular,Full Flavor,STD,KS,4,20,84.000000000000
Spain DP,Reus,Regular,Ultralights,STD,KS,1,7,14.285714000000
Brazil,Salvador,NTD Caps,Full Flavor,STD,KS,2,11,22.727272500000
Turkey,Kayseri Airport,Regular,Full Flavor,SSL,100,2,21,29.841270000000
China,Hefei Xinqiao,Regular,Full Flavor,STD,100,1,20,5.000000000000
Italy,Bergamo,Regular,Full Flavor,SLI,100,1,8,31.250000000000
France DP,Marseille,Menthol,Full Flavor,STD,100,1,10,10.000000000000
Great Britain,Glasgow,Regular,Full Flavor,STD,KS,3,13,60.198135000000
Turkey,Cukurova Airport,Regular,Full Flavor,SLI,KS,1,1,100.000000000000
Greece,Kavala,Regular,Full Flavor,STD,100,1,8,12.500000000000
Mongolia,Ulaanbaatar,Regular,Full Flavor,STD,100,1,8,12.500000000000
Mexico,Cancun,NTD Caps,Full Flavor,STD,KS,2,24,19.940476000000
Switzerland,Geneva,Regular,Full Flavor,STD,100,1,13,7.692308000000
Norway,Bergen,Regular,Full Flavor,STD,KS,4,11,84.848485000000
Nigeria,Lagos,NTD Caps,Full Flavor,STD,KS,1,7,14.285714000000
Tunisia,Monastir,Regular,Lights,SSL,100,1,16,6.250000000000
China,Ningbo Lishe,Menthol,Full Flavor,STD,LONGER THAN KS,1,10,10.000000000000
Turkey,Gaziantep Airport,Menthol,Full Flavor,SLI,KS,1,2,50.000000000000
China,Hefei Xinqiao,Menthol,Full Flavor,SSL,100,1,3,33.333333000000
United Arab Emirates,Dubai,NTD Caps,Full Flavor,SSL,100,2,9,21.759259333333
Morocco,Nador,Regular,Lights,STD,KS,2,13,11.794871666667
China,Hohhot Baita,Regular,Full Flavor,STD,100,1,20,5.000000000000
Jordan,Aqaba,Regular,Lights,STD,KS,2,12,17.803030000000
China,Changsha Huanghua,NTD Caps,Full Flavor,STD,KS,1,20,5.000000000000
Hong Kong,Hong Kong,Regular,Lights,STD,KS,1,14,7.142857000000
Czech Republic,Prague,NTD Caps,Full Flavor,STD,KS,1,8,12.500000000000
Kenya,Jomo Kenyatta,Menthol,Full Flavor,SSL,100,1,16,18.750000000000
China,Shanghai Hongqiao,NTD Caps,Full Flavor,STD,KS,1,20,5.000000000000
Aruba,Oranjestad,Menthol,Full Flavor,SSL,KS,1,4,25.000000000000
Turkey,Diyarbakir Airport,Regular,Lights,STD,100,1,16,6.250000000000
Germany,Hannover,Regular,Full Flavor,STD,KS,3,8,79.960317666667
Great Britain,London Stansted,Regular,Full Flavor,SSL,100,1,2,100.000000000000
China,Changsha Huanghua,Regular,Full Flavor,SSL,100,2,10,34.444444333333
Greece,Samos,Regular,Full Flavor,STD,KS,2,7,70.476190333333
Spain,Madrid Barajas,Regular,Lights,STD,100,1,19,5.263158000000
Ivory Coast,Abidjan,Menthol,Full Flavor,STD,KS,1,15,6.666667000000
Cambodia,Sihanoukville,NTD Caps,Full Flavor,STD,KS,1,8,14.583333500000
Turkey,Eskisehir Airport,Regular,Full Flavor,STD,100,1,8,16.250000000000
Chile,Santiago Arturo Merino Benitez,Menthol,Full Flavor,SSL,100,1,12,8.333333000000
Ghana,Accra,Regular,Lights,STD,100,1,11,9.090909000000
South Korea,Daegu,NTD Caps,Full Flavor,STD,KS,2,56,19.354257000000
China,Mudanjiang Hailang,Regular,Full Flavor,STD,LONGER THAN KS,1,10,10.000000000000
France,Marseille,Regular,Full Flavor,STD,100,1,9,11.111111000000
Morocco,Agadir,Regular,Full Flavor,SSL,KS,1,28,3.571429000000
Brazil,Salvador,Regular,Full Flavor,SSL,100,1,11,9.090909000000
Greece,Kos,Menthol,Full Flavor,SSL,100,1,9,11.111111000000
Egypt,Cairo,Regular,Lights,STD,KS,1,12,15.873015666667
Spain,Valencia,Regular,Lights,STD,100,1,19,5.263158000000
Jordan,Aqaba,NTD Caps,Full Flavor,STD,KS,1,16,12.500000000000
Great Britain,London Luton,Menthol,Full Flavor,STD,100,1,9,11.111111000000
Kuwait,Kuwait,NTD Caps,Full Flavor,STD,KS,1,21,23.174603333333
Panama,Panama Tocumen,Menthol,Full Flavor,SSL,100,1,13,7.692308000000
Ivory Coast,Abidjan,Regular,Lights,STD,100,1,10,10.000000000000
Malaysia,Kuala Lumpur,Regular,Lights,STD,KS,1,12,9.166666500000
Dominican Republic,Puerto Plata,Regular,Lights,STD,KS,1,17,5.882353000000
Morocco,Agadir,Regular,Lights,STD,KS,1,28,7.516754666667
Great Britain,Glasgow,Regular,Full Flavor,SSL,100,1,2,100.000000000000
Mexico,Cozumel,NTD Caps,Full Flavor,STD,KS,2,13,12.237762000000
Switzerland,Geneva,Regular,Lights,STD,100,1,20,6.346154000000
China,Kunming Wujiaba,Regular,Lights,STD,KS,1,20,10.000000000000
China,Nanning Wuxu,Regular,Full Flavor,STD,LONGER THAN KS,1,10,10.000000000000
China,Hohhot Baita,Regular,Lights,STD,KS,1,20,10.000000000000
Saudi Arabia,DAMMAM,Menthol,Full Flavor,SSL,100,1,16,6.250000000000
Canary Islands,Tenerife,NTD Caps,Full Flavor,STD,KS,1,15,6.666667000000
China,Shanghai Hongqiao,NTD Caps,Full Flavor,SSL,100,1,3,33.333333000000
Gabon,Gabon,Regular,Full Flavor,STD,100,1,16,8.680555500000
Morocco,Fes,Regular,Full Flavor,SLI,100,1,24,4.166667000000
Greece,Aktio,Regular,Lights,STD,100,1,9,11.111111000000
Dominican Republic,Santiago Cibao,Menthol,Full Flavor,STD,KS,1,1,100.000000000000
Turkey,Izmir Airport,NTD Caps,Full Flavor,SSL,100,1,37,5.405405000000
Great Britain,London Stansted,Regular,Lights,STD,100,1,11,9.090909000000
Greece,Thessaloniki,Menthol,Full Flavor,SSL,100,1,11,9.090909000000
Morocco,Fes,Menthol,Full Flavor,STD,KS,2,24,6.628788000000
Morocco,Fes,NTD Caps,Full Flavor,SSL,100,1,24,4.166667000000
Albania,Tirana,Menthol Caps,Full Flavor,STD,KS,1,19,5.263158000000
China,Hefei Xinqiao,Regular,Lights,STD,KS,1,20,10.000000000000
France,Nice,Regular,Ultralights,STD,KS,1,7,14.285714000000
Jordan,Amman,Menthol,Full Flavor,SSL,100,1,30,4.607843000000
France DP,Marseille,Regular,Full Flavor,STD,KS,3,10,55.000000000000
Brazil,Florianopolis,NTD Caps,Full Flavor,STD,KS,2,14,18.831169000000
South Korea,Daegu,Menthol,Full Flavor,STD,KS,2,56,9.226190500000
Malaysia,Johor Bahru,Menthol Caps,Full Flavor,STD,KS,1,7,14.285714000000
Tunisia,Monastir,Regular,Lights,STD,KS,1,27,5.072287333333
Italy,Palermo,Regular,Full Flavor,STD,KS,2,8,75.000000000000
Spain DP,Murcia,Menthol,Full Flavor,STD,KS,1,9,12.698412500000
Russia,Moscow - Domodedovo,Regular,Lights,STD,KS,1,11,18.181818000000
Mexico,Mexico City,Regular,Lights,STD,100,1,13,7.692308000000
South Korea,Muan,NTD Caps,Full Flavor,SSL,100,1,43,23.255814000000
Germany,Paderborn,Regular,Full Flavor,STD,KS,3,4,91.666666666667
Tanzania,Dar Es Salaam,Menthol,Full Flavor,SSL,100,1,17,5.882353000000
Macau,Macau,Regular,Full Flavor,STD,100,1,10,10.000000000000
China,Fuzhou Changle,Regular,Full Flavor,STD,KS,4,20,84.000000000000
Dominican Republic,Samana El Catey,Menthol,Full Flavor,STD,KS,1,3,33.333333000000
Belgium,Charleroi,Regular,Lights,STD,KS,1,6,33.333333000000
Japan,Osaka - Kansai,Regular,Full Flavor,SSL,100,3,39,13.119658333333
Great Britain,Exeter,Regular,Full Flavor,STD,KS,3,13,58.632478666667
Great Britain,Glasgow Prestwick,Regular,Full Flavor,STD,KS,3,7,54.761904666667
China,Nanchang Changbei,Regular,Full Flavor,STD,LONGER THAN KS,1,10,10.000000000000
Turkey,Istanbul Asia Airport,Regular,Full Flavor,SSL,100,3,31,36.017595400000
Brazil,Viracopos,Regular,Full Flavor,SSL,100,2,17,9.607843000000
Great Britain,London Gatwick,Regular,Full Flavor,STD,KS,3,13,59.188034000000
Lithuania,Vilnius,Regular,Full Flavor,STD,KS,1,5,40.000000000000
Turkey,Eskisehir Airport,Regular,Full Flavor,STD,KS,3,10,67.500000000000
Norway,Trondheim,Regular,Full Flavor,SSL,KS,1,11,9.090909000000
Brazil,Brasilia,Menthol,Full Flavor,SSL,100,1,14,7.738095000000
Serbia,Belgrade,Regular,Lights,STD,KS,2,7,51.428571333333
Turkey,Antalya Gazipasa Airport,NTD Caps,Full Flavor,STD,KS,2,17,15.966386500000
Canary Islands,Gran Canaria,Regular,Full Flavor,STD,KS,4,16,62.812500000000
Turkey,Kutahya Airport,Regular,Full Flavor,STD,KS,2,7,82.142857000000
Turkey,Kayseri Airport,Regular,Lights,STD,100,1,8,12.500000000000
Germany,Dresden,Regular,Lights,STD,KS,2,4,41.666666500000
China,Zhengzhou Xinzheng,Regular,Full Flavor,STD,KS,4,20,84.000000000000
Greece,Aktio,Regular,Full Flavor,STD,KS,4,9,65.972222250000
China,Urumchi Diwobao,Menthol,Full Flavor,SLI,100,1,2,50.000000000000
Peru,Lima,NTD Caps,Full Flavor,STD,KS,2,22,18.030303000000
France,Nantes,Regular,Lights,STD,KS,2,10,18.333333500000
Portugal,Lisbon,Regular,Lights,STD,KS,2,9,21.111111000000
Japan,Osaka - Kansai,Menthol Caps,Full Flavor,STD,KS,3,60,5.536859250000
Norway,Stavanger,Menthol,Full Flavor,STD,KS,1,11,9.090909000000
Tunisia,Enfidha,NTD Caps,Full Flavor,STD,KS,2,20,20.833333500000
Spain,Santiago De Compostela,Regular,Full Flavor,STD,100,1,9,11.111111000000
Turkey,Istanbul Asia Airport,Regular,Lights,STD,100,1,22,4.653680000000
Jordan,Marka,Regular,Lights,STD,KS,1,4,37.500000000000
Tunisia,Jerba,Regular,Full Flavor,SSL,100,2,34,40.588235333333
Vietnam,Danang,Regular,Full Flavor,STD,KS,3,6,100.000000000000
Morocco,Marrakech,Regular,Full Flavor,STD,100,1,27,3.703704000000
Morocco,Casablanca,NTD Caps,Full Flavor,STD,KS,2,29,10.717326666667
Mexico,La Paz Manuel Marquez de Leon,Regular,Lights,STD,100,1,1,100.000000000000
Spain DP,Santander,Regular,Lights,STD,KS,1,3,33.333333000000
Greece,Zakynthos,Regular,Full Flavor,SSL,100,2,10,25.000000000000
Spain DP,Barcelona,Regular,Full Flavor,SSL,100,1,10,30.000000000000
Tanzania,Kilimanjaro,Regular,Full Flavor,STD,KS,3,13,59.615384666667
Canary Islands,Lanzarote,Menthol,Full Flavor,STD,KS,1,16,6.458333500000
France,Chambery,Regular,Lights,STD,KS,1,5,22.500000000000
Russia,Moscow - Sheremetyevo,Regular,Full Flavor,STD,KS,3,15,66.666666666667
Cape Verde,Praia,NTD Caps,Full Flavor,SSL,100,1,2,50.000000000000
Hong Kong,Hong Kong,Regular,Full Flavor,SSL,100,1,14,7.142857000000
Great Britain,London Southend Airport,Regular,Full Flavor,STD,100,1,10,10.000000000000
France DP,Grenoble,Regular,Lights,STD,KS,1,5,35.000000000000
Great Britain,Cardiff,NTD Caps,Full Flavor,STD,KS,1,9,11.111111000000
Turkey,Adana Airport,Regular,Lights,STD,KS,1,11,12.878788000000
China,Qingdao Liuting,Regular,Lights,STD,KS,1,20,10.000000000000
Mexico,Ixtapa Zihuatanejo,Menthol,Full Flavor,SSL,100,1,12,11.309523500000
Bahrain,Manama,Menthol Caps,Full Flavor,STD,KS,1,20,5.000000000000
Kuwait,Kuwait,Regular,Ultralights,STD,KS,1,21,4.761905000000
Spain DP,Malaga,Regular,Lights,STD,100,1,19,5.263158000000
China,Shenyang Taoxian,Menthol,Full Flavor,SLI,100,1,2,50.000000000000
Indonesia,Ngurah Rai,Regular,Full Flavor,SSL,100,3,24,25.555555333333
Saudi Arabia,Medina,Regular,Full Flavor,STD,100,1,16,6.250000000000
Spain DP,Valencia,Menthol,Full Flavor,STD,KS,1,19,5.263158000000
Spain,Reus,Regular,Lights,STD,KS,2,11,17.792207666667
China,Xiamen Gaoqi,NTD Caps,Full Flavor,SSL,100,1,3,33.333333000000
Tunisia,Tunis,NTD Caps,Full Flavor,STD,KS,2,36,12.500000000000
Russia,St. Petersburg Pulkovo,Regular,Full Flavor,STD,KS,3,12,72.916666750000
France DP,Toulouse,Regular,Full Flavor,SSL,100,2,7,32.142857000000
Malaysia,Penang,Regular,Lights,STD,KS,1,3,33.333333000000
Spain DP,Valencia,Regular,Ultralights,STD,KS,1,9,11.111111000000
Turkey,Ankara Airport,Menthol,Full Flavor,STD,KS,2,37,5.334281500000
China,Hohhot Baita,NTD Caps,Full Flavor,STD,KS,1,20,5.000000000000
South Korea,Busan - Kimhae,Menthol Caps,Full Flavor,STD,KS,1,56,3.834033500000
Dominican Republic,Santiago Cibao,Regular,Full Flavor,STD,KS,2,7,85.714285500000
Turkey,Denizli Cardak Airport,Regular,Full Flavor,SSL,100,2,8,68.750000000000
Switzerland,Zurich,Regular,Full Flavor,SSL,100,3,24,22.500000000000
Kenya,Jomo Kenyatta,Regular,Full Flavor,SSL,100,1,16,18.750000000000
France,Grenoble,Regular,Lights,STD,KS,2,7,26.785714500000
China,Mudanjiang Hailang,NTD Caps,Full Flavor,STD,KS,1,20,5.000000000000
Great Britain,Glasgow,Regular,Lights,STD,100,1,11,9.090909000000
Taiwan,Kaohsiung,Regular,Lights,STD,KS,2,7,54.761905000000
Gabon,Gabon,Regular,Full Flavor,STD,KS,3,16,50.231481333333
Ethiopia,Addis Ababa,Regular,Full Flavor,SSL,100,1,25,8.347826000000
Italy,Bari,Regular,Full Flavor,STD,KS,1,2,50.000000000000
Bulgaria,Bourgas,NTD Caps,Full Flavor,STD,KS,1,5,20.000000000000
Jamaica,Montego Bay,Menthol,Full Flavor,SSL,100,1,29,5.057471500000
China,Yantai Penglai,Regular,Full Flavor,STD,LONGER THAN KS,1,10,10.000000000000
Portugal,Porto,Regular,Lights,STD,100,1,5,20.000000000000
China,Weihai Dashuibo,Regular,Full Flavor,SSL,100,2,10,34.444444333333
Turkey,Cukurova Airport,Regular,Lights,STD,100,1,11,9.090909000000
Tunisia,Tunis,Menthol,Full Flavor,STD,KS,1,36,2.777778000000
Czech Republic,Ostrava,Regular,Full Flavor,STD,KS,1,4,50.000000000000
Mexico,Guadalajara,Regular,Lights,STD,KS,2,13,22.596154000000
Macedonia,Skopje,NTD Caps,Full Flavor,SSL,100,1,16,6.250000000000
China,Taiyuan Wusu,Regular,Full Flavor,STD,100,1,20,5.000000000000
Tanzania,Dar Es Salaam,Regular,Ultralights,STD,KS,1,17,5.882353000000
Spain DP,Palma De Mallorca,NTD Caps,Full Flavor,STD,KS,1,16,6.250000000000
France DP,Marseille,Regular,Full Flavor,SSL,100,1,5,40.000000000000
Italy,Naples,Regular,Lights,STD,KS,2,9,30.740740666667
Portugal,Porto,Regular,Lights,STD,KS,2,9,21.111111000000
Spain,Gerona,Menthol,Full Flavor,STD,KS,1,17,6.787330500000
Caribbean Other,Basseterre (Saint Kitts),Regular,Lights,STD,100,1,6,16.666667000000
China,Shanghai Hongqiao,Regular,Full Flavor,STD,LONGER THAN KS,1,10,10.000000000000
Turkey,Kutahya Airport,Regular,Full Flavor,SLI,KS,1,1,100.000000000000
Tanzania,Kilimanjaro,Regular,Lights,STD,KS,1,13,32.692307500000
Georgia,Kutaisi,Regular,Full Flavor,STD,KS,1,8,48.750000000000
Morocco,Tangier,Menthol,Full Flavor,STD,KS,2,27,5.251744333333
China,Urumchi Diwobao,Menthol,Full Flavor,STD,LONGER THAN KS,1,10,10.000000000000
China,Chengdu Tianfu,Menthol,Full Flavor,SLI,100,1,2,50.000000000000
Tanzania,Kilimanjaro,Menthol,Full Flavor,SSL,100,1,13,7.692308000000
China,Beijing,Menthol,Full Flavor,STD,KS,2,20,7.500000000000
South Korea,Cheongju,Regular,Lights,SSL,100,1,55,1.818182000000
Brazil,Belo Horizonte,Menthol,Full Flavor,SSL,100,1,16,6.250000000000
Great Britain,London Southend Airport,Regular,Lights,STD,100,1,10,10.000000000000
Mexico,Guadalajara,Menthol,Full Flavor,SSL,100,1,13,7.692308000000
Turkey,Izmir Airport,Menthol Caps,Full Flavor,STD,KS,1,27,7.407407000000
Spain,Murcia,Regular,Lights,STD,100,1,9,11.111111000000
Netherlands,Rotterdam,Regular,Full Flavor,STD,KS,2,3,72.222222333333
Israel,Tel-Aviv,Regular,Full Flavor,STD,KS,1,1,100.000000000000
Morocco,Agadir,Regular,Lights,STD,100,1,28,3.637566500000
Spain DP,Mahon Airport,Menthol,Full Flavor,STD,KS,1,16,6.696428500000
Brazil,Sao Paulo - Guarulhos,Regular,Full Flavor,STD,KS,3,18,65.087146000000
Greece,Corfu,Regular,Lights,STD,100,1,11,9.545454500000
China,Yancheng Nanyang,Regular,Full Flavor,SSL,100,2,6,33.333333000000
South Korea,Incheon,Menthol Caps,Full Flavor,SSL,100,1,56,1.785714000000
France,Chambery,Regular,Lights,STD,100,1,3,33.333333000000
Kazakhstan,Astana,Menthol,Full Flavor,STD,100,1,6,16.666667000000
South Korea,Yangyang,Regular,Lights,STD,KS,1,8,12.500000000000
Italy,Rome Fiumicino,Regular,Lights,STD,100,1,9,11.111111000000
Morocco,Oujda,Menthol,Full Flavor,SSL,100,1,21,14.285714000000
Spain,Reus,Menthol,Full Flavor,STD,KS,1,11,9.545454500000
Jordan,Aqaba,Regular,Full Flavor,SSL,100,2,16,13.920454500000
Spain,Sevilla,Regular,Full Flavor,SSL,100,1,9,31.111111000000
Tunisia,Tunis,Menthol,Full Flavor,SSL,100,2,36,6.944444500000
Germany,Frankfurt,Regular,Full Flavor,SSL,100,1,10,10.000000000000
Great Britain,Liverpool,Menthol,Full Flavor,STD,KS,1,11,9.545454500000
Russia,St. Petersburg Pulkovo,Menthol,Full Flavor,STD,100,1,12,8.333333000000
Turkey,Ankara Airport,Regular,Lights,STD,100,1,22,4.545455000000
Spain,Malaga,Menthol,Full Flavor,STD,KS,1,19,5.756579000000
Great Britain,Edinburgh,Regular,Full Flavor,SSL,100,1,2,100.000000000000
Great Britain,Bristol,Regular,Ultralights,STD,KS,1,3,33.333333000000
Turkey,Bodrum Airport,Regular,Ultralights,STD,KS,1,35,2.857143000000
Japan,Osaka - Kansai,Menthol,Full Flavor,SSL,100,1,30,3.333333000000
Japan,Fukuoka,Menthol,Full Flavor,STD,KS,1,59,8.097928500000
Taiwan,Kaohsiung,NTD Caps,Full Flavor,STD,KS,1,8,12.500000000000
China,Jinan Xiaoqiang,Regular,Full Flavor,STD,100,1,20,5.000000000000
Great Britain,East Midlands,Regular,Full Flavor,SSL,100,1,2,100.000000000000
France DP,Tarbes - Lourdes,Regular,Lights,STD,KS,1,4,62.500000000000
Great Britain,Aberdeen,Menthol,Full Flavor,STD,KS,1,10,10.555555500000
Japan,Okayama,Menthol,Full Flavor,STD,KS,1,16,18.750000000000
Great Britain,Bristol,Regular,Full Flavor,STD,100,1,11,9.090909000000
China,Guangzhou Baiyun,Menthol,Full Flavor,SLI,100,1,2,50.000000000000
Morocco,Essaouira,NTD Caps,Full Flavor,STD,KS,2,15,10.000000000000
Mexico,Cancun,Regular,Lights,STD,100,1,15,6.666667000000
South Korea,Busan - Kimhae,NTD Caps,Full Flavor,SSL,100,1,56,17.857143000000
Tunisia,Monastir,Menthol,Full Flavor,SSL,100,1,27,7.407407000000
Serbia,Belgrade,Menthol,Full Flavor,SSL,100,1,7,28.571429000000
Greece,Samos,Regular,Full Flavor,STD,100,1,5,20.000000000000
Jordan,Amman,Regular,Lights,STD,KS,3,30,13.225348000000
Cambodia,Phnom Penh,NTD Caps,Full Flavor,STD,KS,1,25,7.230769333333
Greece,Zakynthos,NTD Caps,Full Flavor,STD,KS,1,12,8.333333000000
Tunisia,Jerba,Regular,Full Flavor,STD,KS,4,34,72.941176500000
China,Weihai Dashuibo,NTD Caps,Full Flavor,SSL,100,1,3,33.333333000000
South Korea,Incheon,Regular,Full Flavor,STD,KS,5,56,69.459707000000
