Location,Market_Volume
Dortmund,532898
Oranjestad,10041000
Samsun Airport,2835200
Colombo,34974033
Munich,14829400
Kinshasa,2120000
Leeds Bradford,11456000
Cancun,62657800
Oujda,26605798
Chisinau,0
Xuzhou Guanyin,108454
Florianopolis,806200
Kunming Wujiaba,11548509
Kos,7777200
Cukurova Airport,1422200
Bologna,2493025
Lille,552200
Haiphong,268600
Weihai Dashuibo,880286
Astana,1885000
Tashkent,6501019
Fes,52157705
Bamako,5825572
Kayseri Airport,4900000
Abu Dhabi,68798300
Belo Horizonte,435400
PRISTINA,28246461
Yinchuan Hedong,823473
Shizuoka,976167
Ostrava,297200
Brussels,13491800
Tarbes - Lourdes,204000
Humberside,400400
Incheon,1037104423
Casablanca,99089969
Rio de Janeiro,13842400
Al Hoceima,108159
Milan - Malpensa,23171400
Voronezh,0
Conakry,0
Tuzla,6499741
Samarkand,0
Busan - Kimhae,131559200
Jaipur,0
Kalibo,45400
Alexandria,5121945
Marka,10800
Athens,30295087
Porto Alegre,84200
Kristiansand,0
Lviv,0
La Paz El Alto,0
Ioannina,10800
Kingston,1970689
Coolangatta,0
Okayama,1222256
Belgorod,0
Port Louis,31278800
Paramaribo,5784863
Yancheng Nanyang,2910
Nantes,3138200
Pula,0
Nador,9047200
Bari,1097572
Barcelona,30519800
Beirut - Rafik Hariri,147759917
Piarco,1259530
Siem Reap,0
Podgorica,5660000
Santorini,3864400
Jinan Xiaoqiang,2546233
Nanning Wuxu,6942780
Berlin Brandenburg,11912562
Moi,0
Kilimanjaro,518000
Mazatlan,278400
Puerto Vallarta,8600800
Wuhan Tianhe,10160927
Puerto Plata,3013200
Ngurah Rai,36764090
Lagos,1429200
Quanzhou,241600
Goa,0
Ankara Airport,17212000
Paderborn,498300
Cayenne,5373400
Rome Fiumicino,30476600
Aktau,0
Bristol,15491200
Bilbao,1755000
Mitilini,318600
Anna,0
Urumchi Diwobao,20106292
Ibiza,13617000
Beira,0
Osaka - Kansai,402162262
Agadir,84337272
Denizli Cardak Airport,63200
Strasbourg,146200
Eindhoven,827600
Porto,14948800
Ixtapa Zihuatanejo,138600
Stuttgart,3584600
Florence,1415800
Vigo,121400
Hyderabad,12293396
Seoul,40641500
Yerevan,448400
Norwich,446800
Ramon,0
Yangon,603630
Nuernberg,252045
Gaziantep Airport,3180600
Hangzhou Xiaoshan,54272948
Birmingham,25492200
Everrich Downtown Kinmen,92033051
Singapore - Changi,136641623
Durban,898000
Hanoi,48868305
Zadar,0
Mendoza,546000
Gerona,3210200
Moscow - Sheremetyevo,5344200
Kuwait,289857503
Doncaster,0
Vilnius,19039806
Aalborg,359057
Lisbon,19906000
Tulear,1168001
Wellington,0
Istanbul Airport,308523510
Manchester,80718400
Jieyang Chaoshan,0
Bydgoszcz,8843919
A Coruna,323400
Niamey,220314
Madrid Barajas,25986000
Stockholm Arlanda,9738800
Banja Luka,2020960
Abidjan,6130800
Mudanjiang Hailang,80720
Entebbe,6902384
Faroe Islands,923032
Islamabad,0
Quito,5218800
Rabat,42358344
Taipei - Taoyuan,1142925828
Liverpool,20538600
Varna,2684606
Rotterdam,458000
Tegucigalpa,0
Aswan,2722009
Asturias,269400
Marseille,9131200
Trondheim,3037001
Bordeaux,2351000
Cordoba,510000
Togo,7510986
Aarhus,110099
Jeddah,121401925
Los Cabos,6597600
Newcastle,17735800
Johor Bahru,5149000
Bodrum Airport,23326200
Kaunas,14742600
Paris Orly,50096400
Billund,5185196
Lyon Saint Exupery,9985600
Dresden,527000
Port-au-Prince (Haiti),594204
Zaporizhya,0
Warsaw-Modlin,13171640
Prague,18248000
