Location,TotalSKU,GreenFlagSKU,RedFlagSKU
Ciampino Airport,26,2,7
Katowice,14,1,4
Liberia,5,1,1
Gaborone,1,1,0
Gabon,38,2,10
Cam Ranh,24,2,6
London Heathrow,37,2,9
Punta Cana - Higuey,96,5,24
Tunis,95,5,24
Qingdao Liuting,89,5,22
Aktio,32,2,8
Alicante,55,3,14
Bridgetown,24,2,6
Konya Airport,70,4,18
Enfidha,80,4,20
Medina,52,3,13
Kagoshima,6,1,2
Kutahya Airport,53,3,13
Tbilisi,28,2,7
Bogota,69,4,17
Duesseldorf,40,2,10
Cali,47,3,12
Erbil International Airport,19,1,5
Xian Xianyang,90,5,23
Queenstown,2,1,1
San Salvador Comalapa,44,3,11
Samara,6,1,2
Helsinki-Vantaa,4,1,1
London Southend Airport,26,2,7
Kota Kinabalu,18,1,5
Murcia,24,2,6
London City,21,2,5
Pengsheng,15,1,4
Lusaka,11,1,3
Granada,9,1,2
Minsk,3,1,1
Hohhot Baita,81,5,20
Manama,91,5,23
Hong Kong,58,3,15
Mandalay,8,1,2
Sofia,38,2,10
Phnom Penh,85,5,21
Viracopos,54,3,14
La Paz Manuel Marquez de Leon,17,1,4
Lima,78,4,20
Tokyo - Narita,117,6,29
Zakynthos,47,3,12
Charleroi,18,1,5
Buenos Aires - Ezeiza,9,1,2
Male,31,2,8
Chubu,133,7,33
Munster-Osnabruck,14,1,4
London Gatwick,37,2,9
Batumi,27,2,7
Fortaleza,33,2,8
Chongqing Jiangbei,89,5,22
Belgrade,36,2,9
Warsaw,36,2,9
Belize City,22,2,6
Krakow Balice,30,2,8
Doha,50,3,13
Muan,64,4,16
La Romana,33,2,8
Phu Quok,28,2,7
Jerez De La Frontera,33,2,8
Auckland,7,1,2
Bangui,2,1,1
Zanzibar,10,1,3
Montpellier,11,1,3
Iwate,2,1,1
Nykoping,3,1,1
Juba,3,1,1
Heraklion Airport,53,3,13
Mexico City,79,4,20
Eskisehir Airport,84,5,21
Graz,21,2,5
Asyut,30,2,8
Mahon Airport,47,3,12
Addis Ababa,94,5,24
Yangyang,53,3,13
Curacao,27,2,7
Izmir Airport,179,9,45
Taiyuan Wusu,79,4,20
Guatemala City,34,2,9
Dortmund,21,2,5
Zia,22,2,6
Shanghai Hongqiao,88,5,22
Tozeur,22,2,6
Suleymania Airport,20,1,5
Xiamen Gaoqi,87,5,22
Cape Town,25,2,6
Natal,43,3,11
Skiathos,23,2,6
Brasilia,52,3,13
Kutaisi,27,2,7
Stavanger,40,2,10
Brno,5,1,1
Vienna,23,2,6
Adelaide,5,1,1
Novosibirsk,2,1,1
Kuwait,103,6,26
Madrid Barajas,60,3,15
Liverpool,31,2,8
Abidjan,43,3,11
Rabat,99,5,25
Aalborg,4,1,1
Lisbon,22,2,6
Bydgoszcz,14,1,4
Mudanjiang Hailang,76,4,19
Istanbul Airport,78,4,20
Banja Luka,22,2,6
Quito,38,2,10
Moscow - Sheremetyevo,36,2,9
Gerona,50,3,13
Taipei - Taoyuan,42,3,11
Manchester,36,2,9
Faroe Islands,7,1,2
Entebbe,21,2,5
Stockholm Arlanda,20,1,5
Tulear,4,1,1
A Coruna,13,1,3
Vilnius,11,1,3
Niamey,8,1,2
Takamatsu,10,1,3
Fort-de-France,31,2,8
Jomo Kenyatta,57,3,14
Marsa Aalam,31,2,8
Riga,14,1,4
Sydney,10,1,3
Aqaba,67,4,17
Praia,39,2,10
Changsha Huanghua,89,5,22
DAMMAM,52,3,13
Tenerife,50,3,13
Nanchang Changbei,78,4,20
Moscow - Vnukovo,29,2,7
Antalya Airport,194,10,49
Sfax,25,2,6
Palma De Mallorca,57,3,14
Sierra Leone,8,1,2
Pisa,19,1,5
Adana Airport,61,4,15
Santiago Arturo Merino Benitez,34,2,9
Ras El Khaymah,31,2,8
Thessaloniki,60,3,15
Manas,68,4,17
Bariloche,3,1,1
Sandefjord-Torp,21,2,5
Miyazaki,4,1,1
Zagreb,5,1,1
Elblag,16,1,4
Windhoek,10,1,3
Genoa,8,1,2
Vaxjo,3,1,1
Split,3,1,1
Gothenburg,1,1,0
Santander,12,1,3
Sharjah,94,5,24
Bourgas,29,2,7
Jerba,88,5,22
Taichung,42,3,11
Recife,47,3,12
Ouarzazate,57,3,14
Shenyang Taoxian,88,5,22
Hurgada,32,2,8
Makhachkala,12,1,3
Basseterre (Saint Kitts),40,2,10
Chania,47,3,12
Zhengzhou Xinzheng,88,5,22
Abuja,30,2,8
Volgograd,28,2,7
Wuxi Shuofang,83,5,21
Muscat,35,2,9
Kavala,24,2,6
Brisbane,11,1,3
Naha,26,2,7
Pointe-a-Pitre,32,2,8
Changchun Longjia,79,4,20
St. Maarten Princess Juliana,22,2,6
Salvador,37,2,9
Beauvais,21,2,5
Fukushima,2,1,1
Samana El Catey,24,2,6
Bremen,15,1,4
Guayaquil,20,1,5
Lulea,4,1,1
Asuncion Silvio Petterossi,9,1,2
Oita,4,1,1
