DF_Market,Location,Flavor,Taste,Thickness,Length,Comp_Seg_SKU,Comp Total,SoM_Comp
Japan,Chubu,Menthol Caps,Full Flavor,STD,100,1,106,0.943396000000
Tunisia,Tunis,Regular,Lights,STD,KS,6,68,8.823529000000
Turkey,Denizli Cardak Airport,NTD Caps,Full Flavor,STD,KS,3,23,13.043478000000
France DP,Paris Charles De Gaulle,Regular,Full Flavor,STD,KS,18,28,64.285714000000
Turkey,Adana Airport,Regular,Full Flavor,SSL,100,4,33,12.121212000000
United Arab Emirates,Abu Dhabi,Regular,Full Flavor,STD,100,1,55,1.818182000000
Nigeria,Abuja,Regular,Ultralights,STD,KS,1,23,4.347826000000
Uzbekistan,Tashkent,Menthol,Full Flavor,SSL,100,1,4,25.000000000000
Aruba,Oranjestad,NTD Caps,Full Flavor,STD,KS,6,48,12.500000000000
China,Xiamen Gaoqi,Regular,Full Flavor,STD,LONGER THAN KS,1,73,1.369863000000
Great Britain,East Midlands,Menthol,Full Flavor,STD,KS,2,26,7.692308000000
China,Guangzhou Baiyun,Regular,Full Flavor,STD,100,2,73,2.739726000000
Germany,Stuttgart,Regular,Lights,STD,KS,1,18,5.555556000000
Saudi Arabia,Jeddah,NTD Caps,Full Flavor,STD,KS,2,36,5.555556000000
Great Britain,London Gatwick,Menthol,Full Flavor,STD,KS,2,31,6.451613000000
Great Britain,Liverpool,Regular,Ultralights,STD,KS,1,25,4.000000000000
Switzerland,Zurich,NTD Caps,Full Flavor,STD,KS,5,68,7.352941000000
Morocco,Casablanca,Regular,Full Flavor,STD,100,2,88,2.272727000000
Brazil,Brasilia,Regular,Full Flavor,SSL,100,2,34,5.882353000000
China,Weihai Dashuibo,Menthol,Full Flavor,SSL,100,1,68,1.470588000000
Spain DP,Reus,Menthol,Full Flavor,STD,KS,2,28,7.142857000000
Greece,Alexandoupolis,NTD Caps,Full Flavor,STD,KS,1,31,3.225806000000
Spain,Malaga,Regular,Ultralights,STD,KS,1,49,2.040816000000
Japan,Osaka - Kansai,NTD Caps,Full Flavor,STD,KS,10,145,6.896552000000
France,Tarbes - Lourdes,Regular,Lights,STD,100,1,9,11.111111000000
Spain,Palma De Mallorca,Regular,Full Flavor,STD,KS,30,48,62.500000000000
Great Britain,Bristol,Regular,Lights,STD,KS,6,29,20.689655000000
Cape Verde,Praia,Menthol,Full Flavor,STD,KS,1,22,4.545455000000
Panama,Panama Tocumen,Regular,Lights,STD,KS,2,20,10.000000000000
Turkey,Istanbul Asia Airport,Menthol,Full Flavor,STD,100,2,102,1.960784000000
China,Zhengzhou Xinzheng,Menthol,Full Flavor,SSL,100,1,73,1.369863000000
Cape Verde,Rabil,NTD Caps,Full Flavor,STD,KS,1,15,6.666667000000
United Arab Emirates,Sharjah,Regular,Full Flavor,SLI,KS,1,61,1.639344000000
Spain DP,Bilbao,Regular,Full Flavor,SSL,100,2,23,8.695652000000
Russia,Min Vody,Regular,Full Flavor,STD,100,2,15,13.333333000000
France DP,Lyon Saint Exupery,Regular,Full Flavor,SSL,100,2,28,7.142857000000
China,Hefei Xinqiao,Menthol,Full Flavor,SLI,100,1,73,1.369863000000
Spain,Alicante,Regular,Lights,STD,100,1,46,2.173913000000
Norway,Trondheim,NTD Caps,Full Flavor,STD,KS,1,16,6.250000000000
France DP,Toulouse,Regular,Full Flavor,STD,100,1,34,2.941176000000
Malaysia,Kota Kinabalu,Regular,Full Flavor,STD,KS,3,11,27.272727000000
Taiwan,Everrich Downtown Kinmen,Regular,Full Flavor,SSL,KS,1,27,3.703704000000
Caribbean Other,Basseterre (Saint Kitts),Menthol,Full Flavor,SSL,100,1,24,4.166667000000
China,Shanghai Hongqiao,Regular,Full Flavor,SSL,100,3,71,4.225352000000
Spain,Palma De Mallorca,Menthol,Full Flavor,STD,KS,2,48,4.166667000000
Greece,Corfu,Regular,Lights,STD,KS,4,33,12.121212000000
Spain,Sevilla,Regular,Full Flavor,STD,KS,27,42,64.285714000000
Taiwan,Everrich Downtown Kinmen,NTD Caps,Full Flavor,STD,KS,1,27,3.703704000000
Brazil,Porto Alegre,Regular,Full Flavor,STD,KS,10,19,52.631579000000
Japan,Fukuoka,Menthol Caps,Full Flavor,SSL,100,3,86,3.488372000000
Greece,Heraklion Airport,Regular,Lights,STD,KS,5,33,15.151515000000
Cambodia,Phnom Penh,Regular,Lights,STD,KS,3,74,4.054054000000
China,Sanya Fenghuang,Regular,Full Flavor,STD,LONGER THAN KS,1,73,1.369863000000
Portugal,Faro Airport,Regular,Lights,STD,KS,3,16,18.750000000000
Great Britain,London Heathrow,Regular,Full Flavor,STD,100,1,31,3.225806000000
France,Toulouse,Regular,Full Flavor,SSL,100,5,36,13.888889000000
Turkey,Trabzon Airport,Regular,Full Flavor,STD,LONGER THAN KS,1,37,2.702703000000
Spain,Bilbao,Regular,Full Flavor,SSL,100,2,23,8.695652000000
Spain,Valencia,NTD Caps,Full Flavor,STD,KS,1,42,2.380952000000
Great Britain,London Southend Airport,Regular,Ultralights,STD,KS,1,20,5.000000000000
Poland,Olsztyn,Regular,Full Flavor,STD,KS,5,7,71.428571000000
China,Kunming Wujiaba,Menthol,Full Flavor,SLI,100,1,73,1.369863000000
China,Qingdao Liuting,Menthol,Full Flavor,STD,KS,3,73,4.109589000000
China,Weihai Dashuibo,Menthol,Full Flavor,SLI,100,1,68,1.470588000000
Ivory Coast,Abidjan,Regular,Ultralights,STD,KS,1,34,2.941176000000
Italy,Bergamo,Regular,Lights,STD,KS,4,15,26.666667000000
Poland,Szczecin,Regular,Lights,STD,KS,2,8,25.000000000000
Kosovo,PRISTINA,Menthol,Full Flavor,SSL,100,1,39,2.564103000000
Tunisia,Enfidha,Menthol Caps,Full Flavor,STD,KS,1,50,2.000000000000
China,Hohhot Baita,Menthol,Full Flavor,STD,LONGER THAN KS,1,73,1.369863000000
Russia,Sochi,Menthol,Full Flavor,STD,100,1,19,5.263158000000
Great Britain,Glasgow,Menthol,Full Flavor,STD,KS,2,30,6.666667000000
Switzerland,Basel,Regular,Ultralights,STD,KS,1,50,2.000000000000
Great Britain,London Stansted,Regular,Ultralights,STD,KS,1,30,3.333333000000
Japan,Fukuoka,Menthol,Full Flavor,SSL,100,1,86,1.162791000000
Gabon,Gabon,NTD Caps,Full Flavor,STD,KS,1,29,3.448276000000
Portugal,Faro Airport,Regular,Lights,STD,100,1,16,6.250000000000
Great Britain,Newcastle,Regular,Ultralights,STD,KS,1,25,4.000000000000
Morocco,Ouarzazate,Regular,Full Flavor,SSL,100,3,46,6.521739000000
Great Britain,Humberside,Regular,Full Flavor,STD,100,1,18,5.555556000000
China,Yanji Zhaoyangchuan,Regular,Full Flavor,STD,100,2,73,2.739726000000
Guatemala,Guatemala City,Regular,Lights,STD,KS,2,19,10.526316000000
Russia,Krasnoyarsk,Regular,Full Flavor,SSL,100,1,19,5.263158000000
China,Chongqing Jiangbei,Menthol,Full Flavor,SSL,100,1,73,1.369863000000
South Africa,Cape Town,NTD Caps,Full Flavor,STD,KS,1,17,5.882353000000
France,Chambery,Regular,Full Flavor,SSL,100,2,12,16.666667000000
Grenada,St. George's Point Saline,Menthol,Full Flavor,STD,KS,3,25,12.000000000000
China,Shenyang Taoxian,Menthol,Full Flavor,SSL,100,1,73,1.369863000000
France DP,Lyon Saint Exupery,Menthol,Full Flavor,STD,100,1,28,3.571429000000
Portugal,Lisbon,NTD Caps,Full Flavor,STD,KS,1,16,6.250000000000
United Arab Emirates,Sharjah,Regular,Full Flavor,STD,100,1,61,1.639344000000
France DP,Paris Charles De Gaulle,Menthol,Full Flavor,STD,100,1,28,3.571429000000
Spain,Ibiza,NTD Caps,Full Flavor,STD,KS,1,41,2.439024000000
Germany,Dortmund,Regular,Full Flavor,STD,KS,7,8,87.500000000000
China,Ningbo Lishe,Regular,Lights,STD,KS,2,73,2.739726000000
Spain DP,Sevilla,Regular,Full Flavor,STD,KS,27,42,64.285714000000
Great Britain,Humberside,Menthol,Full Flavor,STD,KS,1,18,5.555556000000
Japan,Chubu,Menthol,Full Flavor,SLI,100,2,106,1.886792000000
Canary Islands,La Palma,Menthol,Full Flavor,SSL,100,1,41,2.439024000000
Dominican Republic,Santo Domingo Las Americas,Menthol,Full Flavor,STD,KS,1,28,3.571429000000
Jamaica,Montego Bay,NTD Caps,Full Flavor,STD,KS,7,61,11.475410000000
Japan,Okayama,Menthol,Full Flavor,SSL,100,1,16,6.250000000000
Canary Islands,Lanzarote,Menthol,Full Flavor,SSL,100,1,42,2.380952000000
China,Hohhot Baita,NTD Caps,Full Flavor,SSL,100,1,73,1.369863000000
Dominican Republic,La Romana,Regular,Lights,STD,KS,1,15,6.666667000000
Albania,Tirana,Regular,Full Flavor,SLI,100,3,81,3.703704000000
Poland,Krakow Balice,Regular,Full Flavor,STD,KS,9,16,56.250000000000
South Korea,Jeju,Regular,Full Flavor,STD,KS,38,90,42.222222000000
Bulgaria,Varna,NTD Caps,Full Flavor,STD,KS,1,26,3.846154000000
Georgia,Batumi,Regular,Lights,STD,100,1,13,7.692308000000
Japan,Chubu,Menthol Caps,Full Flavor,SSL,100,3,106,2.830189000000
France,Marseille,Regular,Lights,STD,KS,4,27,14.814815000000
Great Britain,London City,Regular,Lights,STD,KS,5,17,29.411765000000
Colombia,Cali,Regular,Full Flavor,STD,KS,7,17,41.176471000000
Spain,Reus,Regular,Ultralights,STD,KS,1,28,3.571429000000
China,Urumchi Diwobao,Menthol,Full Flavor,SSL,100,1,73,1.369863000000
Spain,Bilbao,Regular,Full Flavor,STD,100,1,23,4.347826000000
France,Paris Orly,Regular,Full Flavor,STD,KS,16,25,64.000000000000
Turkey,Bodrum Airport,Regular,Full Flavor,STD,100,5,98,5.102041000000
Greece,Ioannina,Regular,Full Flavor,SSL,100,1,3,33.333333000000
Japan,Osaka - Kansai,NTD Caps,Full Flavor,STD,100,1,145,0.689655000000
Nigeria,Abuja,Regular,Full Flavor,STD,KS,15,23,65.217391000000
Spain,Vigo,Regular,Full Flavor,SSL,100,2,10,20.000000000000
South Africa,Cape Town,Regular,Full Flavor,STD,KS,13,17,76.470588000000
Nicaragua,Managua,Regular,Lights,STD,KS,1,7,14.285714000000
Turkey,Eskisehir Airport,Menthol,Full Flavor,SSL,100,1,26,3.846154000000
Greece,Rhodes,Regular,Full Flavor,SSL,100,5,35,14.285714000000
Tunisia,Jerba,NTD Caps,Full Flavor,STD,KS,7,63,11.111111000000
Morocco,Al Hoceima,Menthol,Full Flavor,STD,KS,2,45,4.444444000000
Germany,Hannover,NTD Caps,Full Flavor,STD,KS,1,21,4.761905000000
France,Bordeaux,Regular,Full Flavor,SSL,100,2,17,11.764706000000
Austria,Salzburg,Regular,Full Flavor,STD,KS,7,10,70.000000000000
China,Yinchuan Hedong,Regular,Full Flavor,STD,LONGER THAN KS,1,73,1.369863000000
Mexico,Monterrey,NTD Caps,Full Flavor,STD,KS,2,22,9.090909000000
China,Yinchuan Hedong,Regular,Full Flavor,STD,100,2,73,2.739726000000
Germany,Berlin Brandenburg,NTD Caps,Full Flavor,STD,KS,1,24,4.166667000000
Saudi Arabia,RIYADH,Regular,Full Flavor,STD,100,1,41,2.439024000000
Greece,Chania,Regular,Lights,STD,KS,5,34,14.705882000000
Turkey,Denizli Cardak Airport,Regular,Lights,STD,100,1,23,4.347826000000
Morocco,Marrakech,Regular,Lights,STD,100,2,84,2.380952000000
United Arab Emirates,Dubai,Menthol,Full Flavor,SSL,KS,1,109,0.917431000000
Great Britain,Exeter,NTD Caps,Full Flavor,STD,KS,1,26,3.846154000000
Switzerland,Basel,Menthol,Full Flavor,SSL,100,1,50,2.000000000000
Spain,Jerez De La Frontera,Regular,Full Flavor,SSL,100,1,26,3.846154000000
Sri Lanka,Colombo,NTD Caps,Full Flavor,SSL,100,1,40,2.500000000000
Malaysia,Kota Kinabalu,Regular,Lights,STD,KS,1,11,9.090909000000
Kyrgyzstan,Manas,Regular,Full Flavor,STD,KS,40,56,71.428571000000
Norway,Trondheim,Regular,Full Flavor,STD,KS,12,16,75.000000000000
Great Britain,Southampton,Regular,Ultralights,STD,KS,1,27,3.703704000000
Mexico,Monterrey,Regular,Full Flavor,STD,KS,13,22,59.090909000000
Turkey,Gaziantep Airport,Regular,Full Flavor,STD,KS,37,71,52.112676000000
Japan,Tokyo - Narita,Menthol Caps,Full Flavor,SSL,100,3,88,3.409091000000
France DP,Lille,Regular,Full Flavor,STD,KS,6,9,66.666667000000
South Korea,Busan - Kimhae,Regular,Full Flavor,STD,KS,38,93,40.860215000000
Japan,Fukuoka,Regular,Lights,STD,KS,1,86,1.162791000000
France,Toulouse,Regular,Full Flavor,STD,KS,22,36,61.111111000000
Turkey,Kayseri Airport,Regular,Full Flavor,STD,100,4,47,8.510638000000
Turkey,Eskisehir Airport,NTD Caps,Full Flavor,STD,KS,1,26,3.846154000000
Turkey,Konya Airport,Regular,Lights,STD,KS,3,33,9.090909000000
China,Guangzhou Baiyun,Menthol,Full Flavor,STD,LONGER THAN KS,1,73,1.369863000000
China,Jinan Xiaoqiang,Menthol,Full Flavor,SSL,100,1,73,1.369863000000
Morocco,Casablanca,NTD Caps,Full Flavor,SSL,100,2,88,2.272727000000
Japan,Osaka - Kansai,NTD Caps,Full Flavor,SSL,100,7,145,4.827586000000
China,Hangzhou Xiaoshan,NTD Caps,Full Flavor,SSL,100,1,73,1.369863000000
Morocco,Marrakech,Regular,Full Flavor,SSL,KS,1,84,1.190476000000
China,Urumchi Diwobao,NTD Caps,Full Flavor,SSL,100,1,73,1.369863000000
Armenia,Yerevan,Regular,Lights,STD,KS,3,35,8.571429000000
Mexico,Cancun,Menthol Caps,Full Flavor,STD,KS,1,60,1.666667000000
Mexico,Los Cabos,Regular,Lights,STD,100,1,48,2.083333000000
Turkey,Konya Airport,Regular,Full Flavor,SLI,100,1,33,3.030303000000
South Korea,Incheon,NTD Caps,Full Flavor,SSL,100,10,94,10.638298000000
Norway,Oslo,NTD Caps,Full Flavor,STD,KS,1,18,5.555556000000
Malaysia,Kota Kinabalu,NTD Caps,Full Flavor,STD,KS,3,11,27.272727000000
Dominican Republic,Puerto Plata,NTD Caps,Full Flavor,STD,KS,4,27,14.814815000000
China,Xuzhou Guanyin,Menthol,Full Flavor,STD,LONGER THAN KS,1,70,1.428571000000
Greece,Heraklion Airport,Menthol,Full Flavor,SSL,100,1,33,3.030303000000
China,Yantai Penglai,Menthol,Full Flavor,STD,KS,3,73,4.109589000000
China,Yinchuan Hedong,Menthol,Full Flavor,STD,LONGER THAN KS,1,73,1.369863000000
China,Xiamen Gaoqi,Menthol,Full Flavor,SLI,100,1,73,1.369863000000
Bulgaria,Bourgas,Menthol,Full Flavor,SSL,100,1,25,4.000000000000
Mexico,Ixtapa Zihuatanejo,Regular,Full Flavor,STD,KS,11,20,55.000000000000
Spain,Gerona,Regular,Full Flavor,STD,KS,26,41,63.414634000000
Ethiopia,Addis Ababa,NTD Caps,Full Flavor,STD,KS,6,74,8.108108000000
United Arab Emirates,Dubai,Regular,Full Flavor,SSL,KS,1,109,0.917431000000
China,Nanning Wuxu,Menthol,Full Flavor,SSL,100,1,69,1.449275000000
China,Yancheng Nanyang,NTD Caps,Full Flavor,STD,KS,1,52,1.923077000000
Jordan,Marka,Regular,Full Flavor,SSL,100,1,6,16.666667000000
Spain,Mahon Airport,Regular,Ultralights,STD,KS,1,38,2.631579000000
China,Xuzhou Guanyin,Regular,Full Flavor,STD,LONGER THAN KS,1,70,1.428571000000
Albania,Tirana,Regular,Full Flavor,STD,LONGER THAN KS,1,81,1.234568000000
Germany,Dortmund,Regular,Lights,STD,KS,1,8,12.500000000000
Albania,Tirana,NTD Caps,Full Flavor,STD,KS,3,81,3.703704000000
Canary Islands,Lanzarote,Regular,Full Flavor,SSL,100,2,42,4.761905000000
Kosovo,PRISTINA,Regular,Full Flavor,SSL,KS,1,39,2.564103000000
Brazil,Viracopos,NTD Caps,Full Flavor,STD,KS,7,36,19.444444000000
Turkey,Izmir Airport,Menthol,Full Flavor,STD,KS,5,103,4.854369000000
Spain DP,Madrid Barajas,NTD Caps,Full Flavor,STD,KS,1,51,1.960784000000
Spain,A Coruna,Regular,Lights,STD,KS,2,8,25.000000000000
Reunion,Roland Garros,Regular,Lights,STD,KS,3,15,20.000000000000
Germany,Duesseldorf,Regular,Full Flavor,STD,KS,21,27,77.777778000000
China,Changsha Huanghua,Regular,Lights,STD,KS,2,73,2.739726000000
Cape Verde,Espargos,Menthol,Full Flavor,STD,KS,3,39,7.692308000000
China,Dalian Zhoushuizi,Menthol,Full Flavor,STD,KS,3,73,4.109589000000
Great Britain,Manchester,NTD Caps,Full Flavor,STD,KS,1,30,3.333333000000
China,Zhengzhou Xinzheng,NTD Caps,Full Flavor,STD,KS,1,73,1.369863000000
Jordan,Aqaba,Regular,Full Flavor,SLI,KS,1,39,2.564103000000
Spain,Madrid Barajas,Menthol,Full Flavor,STD,KS,2,51,3.921569000000
Portugal,Madeira,Regular,Full Flavor,SSL,100,1,15,6.666667000000
Ecuador,Quito,Regular,Lights,STD,KS,2,19,10.526316000000
China,Changchun Longjia,Menthol,Full Flavor,SSL,100,1,73,1.369863000000
Greece,Aktio,Menthol,Full Flavor,SSL,100,1,26,3.846154000000
Portugal,Faro Airport,NTD Caps,Full Flavor,STD,KS,1,16,6.250000000000
Turkey,Antalya Gazipasa Airport,Regular,Full Flavor,SSL,100,8,49,16.326531000000
Great Britain,Humberside,Regular,Lights,STD,KS,3,18,16.666667000000
Great Britain,Birmingham,Regular,Lights,STD,KS,6,32,18.750000000000
Poland,Gdansk,Regular,Lights,STD,100,1,13,7.692308000000
Germany,Duesseldorf,NTD Caps,Full Flavor,STD,KS,1,27,3.703704000000
Great Britain,Edinburgh,NTD Caps,Full Flavor,STD,KS,1,30,3.333333000000
Spain DP,Murcia,Regular,Lights,STD,100,1,18,5.555556000000
Spain,Sevilla,NTD Caps,Full Flavor,STD,KS,1,42,2.380952000000
Morocco,Ouarzazate,Regular,Full Flavor,STD,100,1,46,2.173913000000
Great Britain,Norwich,NTD Caps,Full Flavor,STD,KS,1,17,5.882353000000
Spain,Madrid Barajas,Regular,Lights,STD,KS,9,51,17.647059000000
Brazil,Belo Horizonte,Menthol,Full Flavor,STD,KS,3,33,9.090909000000
China,Yanji Zhaoyangchuan,Regular,Lights,STD,KS,2,73,2.739726000000
Great Britain,Leeds Bradford,Regular,Full Flavor,STD,100,1,23,4.347826000000
Denmark,Copenhagen,Regular,Full Flavor,STD,KS,7,10,70.000000000000
China,Beijing,Regular,Full Flavor,STD,100,2,71,2.816901000000
South Korea,Seoul,Regular,Lights,STD,KS,1,93,1.075269000000
Kenya,Jomo Kenyatta,Regular,Full Flavor,SLI,100,1,36,2.777778000000
Spain,Ibiza,Regular,Ultralights,STD,KS,1,41,2.439024000000
China,Ningbo Lishe,Menthol,Full Flavor,STD,KS,3,73,4.109589000000
Mexico,Mexico City,Regular,Lights,STD,KS,4,57,7.017544000000
France DP,Toulouse,Regular,Lights,STD,KS,3,34,8.823529000000
Spain,Gerona,Regular,Lights,STD,KS,7,41,17.073171000000
Turkey,Trabzon Airport,NTD Caps,Full Flavor,STD,KS,1,37,2.702703000000
Switzerland,Basel,NTD Caps,Full Flavor,STD,KS,4,50,8.000000000000
China,Zhengzhou Xinzheng,Menthol,Full Flavor,STD,KS,3,73,4.109589000000
South Korea,Daegu,Regular,Full Flavor,SSL,100,12,80,15.000000000000
United Arab Emirates,Dubai,Regular,Full Flavor,STD,LONGER THAN KS,1,109,0.917431000000
China,Changchun Longjia,Menthol,Full Flavor,STD,KS,3,73,4.109589000000
China,Mudanjiang Hailang,Menthol,Full Flavor,STD,KS,3,71,4.225352000000
Ivory Coast,Abidjan,Menthol,Full Flavor,SSL,100,3,34,8.823529000000
Spain DP,Reus,Regular,Full Flavor,SSL,100,1,28,3.571429000000
Morocco,Marrakech,Menthol Caps,Full Flavor,STD,KS,2,84,2.380952000000
Serbia,Nis,Menthol,Full Flavor,SSL,100,1,19,5.263158000000
China,Yanji Zhaoyangchuan,Menthol,Full Flavor,STD,KS,3,73,4.109589000000
Serbia,Nis,Regular,Full Flavor,SSL,100,5,19,26.315789000000
Poland,Warsaw,Regular,Full Flavor,SSL,100,2,22,9.090909000000
Austria,Salzburg,Regular,Lights,STD,100,1,10,10.000000000000
Austria,Vienna,Regular,Lights,STD,KS,3,14,21.428571000000
United Arab Emirates,Sharjah,Menthol,Full Flavor,SSL,100,2,61,3.278689000000
Great Britain,Cardiff,Menthol,Full Flavor,STD,KS,2,21,9.523810000000
Morocco,Marrakech,NTD Caps,Full Flavor,STD,KS,9,84,10.714286000000
Italy,Naples,Regular,Full Flavor,SLI,100,1,19,5.263158000000
Mexico,Los Cabos,Menthol,Full Flavor,STD,KS,2,48,4.166667000000
Great Britain,Norwich,Menthol,Full Flavor,STD,KS,1,17,5.882353000000
Myanmar,Yangon,Regular,Full Flavor,STD,KS,12,12,100.000000000000
Mexico,Guadalajara,Regular,Full Flavor,SSL,100,3,34,8.823529000000
Armenia,Yerevan,Regular,Full Flavor,SSL,KS,6,35,17.142857000000
Great Britain,Glasgow Prestwick,Menthol,Full Flavor,STD,KS,2,16,12.500000000000
Turkey,Samsun Airport,Regular,Full Flavor,SLI,KS,2,70,2.857143000000
France DP,Nice,Regular,Lights,STD,100,2,28,7.142857000000
Great Britain,London Heathrow,Regular,Full Flavor,STD,KS,17,31,54.838710000000
Grenada,St. George's Point Saline,NTD Caps,Full Flavor,STD,KS,2,25,8.000000000000
Aruba,Oranjestad,Menthol,Full Flavor,SSL,100,3,48,6.250000000000
Cambodia,Phnom Penh,Regular,Lights,SSL,100,3,74,4.054054000000
Taiwan,Kaohsiung,Regular,Full Flavor,SSL,KS,1,27,3.703704000000
Portugal,Porto,Regular,Full Flavor,STD,100,1,16,6.250000000000
Macedonia,Ohrid,Regular,Lights,SSL,100,1,23,4.347826000000
China,Zhengzhou Xinzheng,Menthol,Full Flavor,SLI,100,1,73,1.369863000000
Morocco,Fes,NTD Caps,Full Flavor,STD,KS,6,67,8.955224000000
China,Hangzhou Xiaoshan,Menthol,Full Flavor,STD,KS,3,73,4.109589000000
Turkey,Denizli Cardak Airport,Regular,Full Flavor,STD,KS,9,23,39.130435000000
Turkey,Kutahya Airport,Regular,Lights,STD,KS,1,17,5.882353000000
Great Britain,Aberdeen,Regular,Ultralights,STD,KS,1,23,4.347826000000
South Korea,Daegu,Regular,Full Flavor,SLI,100,1,80,1.250000000000
Ecuador,Guayaquil,Regular,Full Flavor,SSL,100,1,9,11.111111000000
Georgia,Batumi,Regular,Lights,STD,KS,4,13,30.769231000000
Spain DP,Santiago De Compostela,Regular,Full Flavor,STD,100,1,23,4.347826000000
Morocco,Fes,Regular,Full Flavor,SSL,100,5,67,7.462687000000
Macedonia,Ohrid,Regular,Full Flavor,SLI,KS,1,23,4.347826000000
China,Mudanjiang Hailang,Regular,Full Flavor,STD,KS,55,71,77.464789000000
South Korea,Jeju,NTD Caps,Full Flavor,STD,KS,20,90,22.222222000000
Turkey,Izmir Airport,Regular,Full Flavor,STD,KS,53,103,51.456311000000
Russia,Krasnoyarsk,Menthol,Full Flavor,STD,100,1,19,5.263158000000
Greece,Heraklion Airport,Regular,Lights,STD,100,2,33,6.060606000000
Ghana,Accra,Menthol,Full Flavor,STD,KS,3,37,8.108108000000
Colombia,Cali,Regular,Lights,STD,KS,2,17,11.764706000000
Serbia,Nis,Regular,Lights,STD,KS,3,19,15.789474000000
China,Shenyang Taoxian,Regular,Lights,STD,KS,2,73,2.739726000000
China,Dalian Zhoushuizi,Regular,Full Flavor,STD,100,2,73,2.739726000000
France,Bordeaux,Regular,Lights,STD,100,1,17,5.882353000000
Canary Islands,Lanzarote,Regular,Lights,STD,KS,5,42,11.904762000000
Great Britain,East Midlands,Regular,Full Flavor,STD,100,1,26,3.846154000000
Turkey,Diyarbakir Airport,NTD Caps,Full Flavor,SSL,100,1,82,1.219512000000
Morocco,Agadir,Menthol,Full Flavor,STD,100,1,82,1.219512000000
China,Xiamen Gaoqi,NTD Caps,Full Flavor,STD,KS,1,73,1.369863000000
Bahrain,Manama,Regular,Lights,STD,100,1,56,1.785714000000
China,Yantai Penglai,Regular,Full Flavor,SSL,100,4,73,5.479452000000
Egypt,Cairo,Regular,Full Flavor,SSL,100,4,23,17.391304000000
Ireland,Cork,Regular,Full Flavor,STD,KS,5,10,50.000000000000
Spain DP,Valencia,Regular,Lights,STD,100,1,42,2.380952000000
Great Britain,East Midlands,Regular,Ultralights,STD,KS,1,26,3.846154000000
China,Yinchuan Hedong,NTD Caps,Full Flavor,SSL,100,1,73,1.369863000000
China,Wuhan Tianhe,Regular,Full Flavor,STD,KS,56,73,76.712329000000
Canary Islands,Tenerife,Menthol,Full Flavor,SSL,100,1,42,2.380952000000
Spain,Ibiza,Regular,Lights,STD,KS,6,41,14.634146000000
Taiwan,Taichung,NTD Caps,Full Flavor,STD,KS,1,27,3.703704000000
Russia,Min Vody,Regular,Full Flavor,STD,KS,8,15,53.333333000000
China,Xuzhou Guanyin,Regular,Full Flavor,STD,100,2,70,2.857143000000
France DP,Bordeaux,Regular,Full Flavor,STD,100,1,17,5.882353000000
Turkey,Trabzon Airport,Regular,Full Flavor,SSL,100,3,37,8.108108000000
Kuwait,Kuwait,Regular,Full Flavor,SLI,KS,1,59,1.694915000000
Greece,Alexandoupolis,Regular,Lights,STD,100,1,31,3.225806000000
Great Britain,London Stansted,Regular,Lights,STD,KS,6,30,20.000000000000
Turkey,Eskisehir Airport,Regular,Lights,STD,KS,2,26,7.692308000000
Russia,Min Vody,Regular,Lights,STD,100,1,15,6.666667000000
China,Shenyang Taoxian,Menthol,Full Flavor,STD,LONGER THAN KS,1,73,1.369863000000
Bahrain,Manama,Regular,Full Flavor,STD,LONGER THAN KS,1,56,1.785714000000
China,Harbin Taiping,Regular,Full Flavor,STD,LONGER THAN KS,1,70,1.428571000000
South Korea,Jeju,NTD Caps,Full Flavor,SSL,100,10,90,11.111111000000
Japan,Tokyo - Narita,Menthol,Full Flavor,SSL,100,1,88,1.136364000000
Morocco,Marrakech,Regular,Ultralights,STD,KS,1,84,1.190476000000
China,Yancheng Nanyang,Menthol,Full Flavor,STD,KS,2,52,3.846154000000
Brazil,Natal,Menthol,Full Flavor,SSL,100,1,25,4.000000000000
Nicaragua,Managua,Regular,Full Flavor,STD,KS,1,7,14.285714000000
Austria,Graz,Regular,Lights,STD,100,1,12,8.333333000000
Spain DP,Bilbao,Regular,Full Flavor,STD,100,1,23,4.347826000000
Poland,Krakow Balice,Regular,Lights,STD,100,1,16,6.250000000000
Morocco,Oujda,NTD Caps,Full Flavor,STD,KS,6,63,9.523810000000
Ghana,Accra,Regular,Full Flavor,SSL,100,3,37,8.108108000000
Kosovo,PRISTINA,Regular,Full Flavor,STD,KS,19,39,48.717949000000
Great Britain,Exeter,Regular,Lights,STD,KS,5,26,19.230769000000
French Guyana,Cayenne,Regular,Lights,STD,KS,1,18,5.555556000000
United Arab Emirates,Dubai,Menthol,Full Flavor,SSL,100,2,109,1.834862000000
Great Britain,Leeds Bradford,Regular,Full Flavor,STD,KS,14,23,60.869565000000
Japan,Chubu,NTD Caps,Full Flavor,SSL,100,3,106,2.830189000000
Brazil,Salvador,Regular,Lights,STD,KS,1,22,4.545455000000
Italy,Ciampino Airport,Regular,Lights,STD,100,1,11,9.090909000000
Spain DP,Reus,Regular,Full Flavor,STD,KS,18,28,64.285714000000
China,Hohhot Baita,Regular,Full Flavor,SSL,100,4,73,5.479452000000
Canary Islands,La Palma,Regular,Full Flavor,SSL,100,2,41,4.878049000000
Peru,Lima,Menthol,Full Flavor,SSL,100,3,56,5.357143000000
