Nationality,Nationalities,Country,Countries
Timor-Leste,Timor-Leste,Timor-Leste,Timor-Leste
Egypt,Egypt,Egypt,Egypt
Finland,Finland,Finland,Finland
Paraguay,Paraguay,Paraguay,Paraguay
Tokelau,Tokelau,Tokelau,Tokelau
Argentina,Argentina,Argentina,Argentina
Zambia,Zambia,Zambia,Zambia
Guatemala,Guatemala,Guatemala,Guatemala
Benin,Benin,Benin,Benin
Djibouti,Djibouti,Djibouti,Djibouti
Armenia,Armenia,Armenia,Armenia
Colombia,Colombia,Colombia,Colombia
Cuba,Cuba,Cuba,Cuba
St. Barthélemy,St. Barthélemy,St. Barthélemy,St. Barthélemy
Nigeria,Nigeria,Nigeria,Nigeria
Niger,Niger,Niger,Niger
Zimbabwe,Zimbabwe,Zimbabwe,Zimbabwe
Malawi,Malawi,Malawi,Malawi
West Sahara,West Sahara,West Sahara,West Sahara
Sri Lanka,Sri Lanka,Sri Lanka,Sri Lanka
Niue,Niue,Niue,Niue
Greenland,Greenland,Greenland,Greenland
Namibia,Namibia,Namibia,Namibia
India,India,India,India
Honduras,Honduras,Honduras,Honduras
Iraq,Iraq,Iraq,Iraq
Central Afr.Rep,Central Afr.Rep,Central Afr.Rep,Central Afr.Rep
Cape Verde,Cape Verde,Cape Verde,Cape Verde
Bhutan,Bhutan,Bhutan,Bhutan
Cambodia,Cambodia,Cambodia,Cambodia
Ivory Coast,Ivory Coast,Ivory Coast,Ivory Coast
Croatia,Croatia,Croatia,Croatia
Vatican City,Vatican City,Vatican City,Vatican City
Spain,Spain,Spain,Spain
Myanmar,Myanmar,Myanmar,Myanmar
Iceland,Iceland,Iceland,Iceland
Russian Fed.,Russian Fed.,Russian Fed.,Russian Fed.
Uzbekistan,Uzbekistan,Uzbekistan,Uzbekistan
Montenegro,Montenegro,Montenegro,Montenegro
Gabon,Gabon,Gabon,Gabon
Moldova,Moldova,Moldova,Moldova
Bouvet Island,Bouvet Island,Bouvet Island,Bouvet Island
N. Mariana Is.,N. Mariana Is.,N. Mariana Is.,N. Mariana Is.
Czech Republic,Czech Republic,Czech Republic,Czech Republic
San Marino,San Marino,San Marino,San Marino
Palau,Palau,Palau,Palau
Qatar,Qatar,Qatar,Qatar
Vanuatu,Vanuatu,Vanuatu,Vanuatu
Burundi,Burundi,Burundi,Burundi
Malta,Malta,Malta,Malta
Taiwan,Taiwan,Taiwan,Taiwan
Montserrat,Montserrat,Montserrat,Montserrat
Anguilla,Anguilla,Anguilla,Anguilla
Bahrain,Bahrain,Bahrain,Bahrain
North Korea,North Korea,North Korea,North Korea
Albania,Albania,Albania,Albania
Papua Nw Guinea,Papua Nw Guinea,Papua Nw Guinea,Papua Nw Guinea
Dominican Rep.,Dominican Rep.,Dominican Rep.,Dominican Rep.
Ireland,Ireland,Ireland,Ireland
Saudi Arabia,Saudi Arabia,Saudi Arabia,Saudi Arabia
Burkina Faso,Burkina Faso,Burkina Faso,Burkina Faso
Cook Islands,Cook Islands,Cook Islands,Cook Islands
French Guiana,French Guiana,French Guiana,French Guiana
Angola,Angola,Angola,Angola
Mozambique,Mozambique,Mozambique,Mozambique
Lebanon,Lebanon,Lebanon,Lebanon
Mauritius,Mauritius,Mauritius,Mauritius
Portugal,Portugal,Portugal,Portugal
Latvia,Latvia,Latvia,Latvia
Equatorial Gui.,Equatorial Gui.,Equatorial Gui.,Equatorial Gui.
St Kitts&Nevis,St Kitts&Nevis,St Kitts&Nevis,St Kitts&Nevis
Algeria,Algeria,Algeria,Algeria
Mongolia,Mongolia,Mongolia,Mongolia
Comoros,Comoros,Comoros,Comoros
Saint Lucia,Saint Lucia,Saint Lucia,Saint Lucia
Oman,Oman,Oman,Oman
Ghana,Ghana,Ghana,Ghana
Senegal,Senegal,Senegal,Senegal
Romania,Romania,Romania,Romania
Sierra Leone,Sierra Leone,Sierra Leone,Sierra Leone
Sweden,Sweden,Sweden,Sweden
Bolivia,Bolivia,Bolivia,Bolivia
Yemen,Yemen,Yemen,Yemen
Frenc.Polynesia,Frenc.Polynesia,Frenc.Polynesia,Frenc.Polynesia
Estonia,Estonia,Estonia,Estonia
Nauru,Nauru,Nauru,Nauru
Uganda,Uganda,Uganda,Uganda
Liechtenstein,Liechtenstein,Liechtenstein,Liechtenstein
Bahamas,Bahamas,Bahamas,Bahamas
Slovenia,Slovenia,Slovenia,Slovenia
Micronesia,Micronesia,Micronesia,Micronesia
Tuvalu,Tuvalu,Tuvalu,Tuvalu
Iran,Iran,Iran,Iran
Venezuela,Venezuela,Venezuela,Venezuela
Suriname,Suriname,Suriname,Suriname
Serbia,Serbia,Serbia,Serbia
Bermuda,Bermuda,Bermuda,Bermuda
Chile,Chile,Chile,Chile
Pakistan,Pakistan,Pakistan,Pakistan
South Korea,South Korea,South Korea,South Korea
Austria,Austria,Austria,Austria
Belarus,Belarus,Belarus,Belarus
Canada,Canada,Canada,Canada
Gibraltar,Gibraltar,Gibraltar,Gibraltar
St. Helena,St. Helena,St. Helena,St. Helena
Cocos (Keeling),Cocos (Keeling),Cocos (Keeling),Cocos (Keeling)
Svalbard,Svalbard,Svalbard,Svalbard
Vietnam,Vietnam,Vietnam,Vietnam
Antarctica,Antarctica,Antarctica,Antarctica
Brazil,Brazil,Brazil,Brazil
Guadeloupe,Guadeloupe,Guadeloupe,Guadeloupe
Dem. Rep. Congo,Dem. Rep. Congo,Dem. Rep. Congo,Dem. Rep. Congo
Mauritania,Mauritania,Mauritania,Mauritania
Bulgaria,Bulgaria,Bulgaria,Bulgaria
Netherlands,Netherlands,Netherlands,Netherlands
Brunei,Brunei,Brunei,Brunei
Tunisia,Tunisia,Tunisia,Tunisia
Panama,Panama,Panama,Panama
Marshall Is.,Marshall Is.,Marshall Is.,Marshall Is.
Kosovo,Kosovo,Kosovo,Kosovo
New Caledonia,New Caledonia,New Caledonia,New Caledonia
Kazakhstan,Kazakhstan,Kazakhstan,Kazakhstan
Malaysia,Malaysia,Malaysia,Malaysia
Rwanda,Rwanda,Rwanda,Rwanda
El Salvador,El Salvador,El Salvador,El Salvador
Germany,Germany,Germany,Germany
Switzerland,Switzerland,Switzerland,Switzerland
Maldives,Maldives,Maldives,Maldives
Fiji,Fiji,Fiji,Fiji
Nepal,Nepal,Nepal,Nepal
Togo,Togo,Togo,Togo
Australia,Australia,Australia,Australia
Mayotte,Mayotte,Mayotte,Mayotte
Poland,Poland,Poland,Poland
